"   ","PRODUCT_NAME","TRAD_NAME","ID","SMALL_GENERIC_ID","CHILD_USE_LEVEL","CHILD_AGE_UNIT","CHILD_AGE","PREGNANT_FLAG","PREGNANT_USE_LEVEL","AGED_LIVER_KIDNEY","AGED_USE_LEVEL","COMMENTS"
"72","甲磺酸酚妥拉明注射液","","DR1784","DS2215","","","","1","1","","0",""
"73","呋喃妥因肠溶片","","DR1280","DS2615","2","M","1","2","1","","1",""
"74","呋喃妥因肠溶片","","DR1280","DS2615","2","M","1","1","2","","1",""
"75","呋喃唑酮片","","DR513","DS2616","2","D","28","2","2","","0",""
"76","呋喃唑酮片","","DR513","DS2616","2","D","28","1","2","","0",""
"77","阿加曲班注射液","达贝","DR2925","DS2639","","","","1","1","","0",""
"78","阿加曲班注射液","达贝","DR2925","DS2639","","","","2","1","","0",""
"79","阿胶补血口服液","阿胶补血口服液","DR1452","DS1222","","","","2","0","","0",""
"80","阿胶补血口服液","阿胶补血口服液","DR1452","DS1222","","","","1","0","","0",""
"81","阿立哌唑片","安律凡","DR932","DS2640","","","","2","1","","0",""
"82","阿立哌唑片","安律凡","DR932","DS2640","","","","1","1","","0",""
"83","阿仑膦酸钠片","","DR2858","DS2237","1","Y","14","2","2","","0",""
"84","阿仑膦酸钠片","","DR2858","DS2237","1","Y","14","1","1","","0",""
"85","硫酸阿米卡星氯化钠注射液","米英杰","DR13","DS1938","1","Y","14","2","1","肾功能不全","1",""
"86","硫酸阿米卡星氯化钠注射液","米英杰","DR13","DS1938","1","Y","14","1","1","肾功能不全","1",""
"87","阿莫西林克拉维酸钾分散片","","DR2144","DS2238","","","","2","1","","0",""
"88","阿莫西林克拉维酸钾分散片","","DR2144","DS2238","","","","1","2","","0",""
"89","阿莫西林克拉维酸钾片","君尔清","DR2293","DS2238","","","","2","1","","0",""
"90","阿莫西林克拉维酸钾片","君尔清","DR2293","DS2238","","","","1","2","","0",""
"91","阿莫西林舒巴坦匹酯片","特福猛","DR938","DS3716","1","M","3","1","1","","0",""
"92","阿莫西林舒巴坦匹酯片","特福猛","DR938","DS3716","1","M","3","2","1","","0",""
"93","阿那曲唑片","阿那曲唑片","DR2763","DS1224","1","Y","14","2","2","","0",""
"94","阿那曲唑片","阿那曲唑片","DR2763","DS1224","1","Y","14","1","2","","0",""
"95","乳糖酸阿奇霉素注射液","","DR1715","DS1589","","","","2","1","","0",""
"96","乳糖酸阿奇霉素注射液","","DR1715","DS1589","","","","1","1","","0",""
"97","阿奇霉素软胶囊","凯迅","DR1914","DS511","0","Y","2","1","1","","0",""
"98","阿奇霉素软胶囊","凯迅","DR1914","DS511","0","Y","2","2","1","","0",""
"99","阿奇霉素干混悬剂","","DR1212","DS511","","","","2","1","","0",""
"100","阿奇霉素干混悬剂","","DR1212","DS511","","","","1","1","","0",""
"101","注射用乳糖酸阿奇霉素","其仙","DR1239","DS1589","1","Y","18","1","1","","0",""
"102","注射用乳糖酸阿奇霉素","其仙","DR1239","DS1589","1","Y","18","2","1","","0",""
"103","阿奇霉素肠溶片","维宏","DR1032","DS511","0","Y","2","2","1","","0",""
"104","阿奇霉素肠溶片","维宏","DR1032","DS511","0","Y","2","1","1","","0",""
"105","复方阿嗪米特肠溶片","","DR1439","DS2239","","","","2","0","","0",""
"106","复方阿嗪米特肠溶片","","DR1439","DS2239","","","","1","0","","0",""
"107","硫酸阿托品眼膏","","DR2995","DS1899","1","Y","14","2","1","","1",""
"108","硫酸阿托品眼膏","","DR2995","DS1899","1","Y","14","1","1","","1",""
"109","阿魏酸哌嗪片","亨达盛康","DR3471","DS2642","","","","2","0","","",""
"110","阿魏酸哌嗪片","亨达盛康","DR3471","DS2642","","","","1","0","","",""
"111","阿昔洛韦胶囊","天诚惜尔","DR234","DS465","","","","1","1","","0",""
"112","阿昔洛韦胶囊","天诚惜尔","DR234","DS465","","","","2","1","","0",""
"113","盐酸阿扎司琼注射液","欧立康定","DR964","DS1590","1","Y","14","2","1","肾功能不全","1",""
"114","盐酸阿扎司琼注射液","欧立康定","DR964","DS1590","1","Y","14","1","1","肾功能不全","1",""
"115","注射用埃索美拉唑钠","","DR1686","DS1850","1","Y","14","2","1","","0",""
"116","注射用埃索美拉唑钠","","DR1686","DS1850","1","Y","14","1","1","","0",""
"117","艾塞那肽注射液","百泌达","DR1583","DS513","1","Y","14","2","1","","0",""
"118","艾塞那肽注射液","百泌达","DR1583","DS513","1","Y","14","1","1","","0",""
"119","养胃颗粒","养胃颗粒","DR3552","DS1851","","","","","","","",""
"120","加味左金丸","加味左金丸","DR3704","DS158","","","","1","0","","",""
"121","加味左金丸","加味左金丸","DR3704","DS158","","","","2","0","","",""
"122","逍遥丸(浓缩丸)","逍遥丸(浓缩丸)","DR3713","DS2885","","","","","","","",""
"123","盐酸曲唑酮片","每素玉","DR3742","DS2982","1","Y","18","1","1","","",""
"124","盐酸曲唑酮片","每素玉","DR3742","DS2982","1","Y","18","2","1","","",""
"125","散寒感冒片","散寒感冒片","DR3790","DS3014","","","","","","","",""
"126","健脾糕片","健脾糕片","DR3948","DS3202","","","","","","","",""
"127","接骨七厘散","接骨七厘散","DR3955","DS3210","","","","1","2","","",""
"128","金刚藤颗粒","金刚藤颗粒","DR3962","DS3217","","","","1","1","","",""
"129","金刚藤颗粒","金刚藤颗粒","DR3962","DS3217","","","","2","1","","",""
"130","藿香清胃片","藿香清胃片","DR3976","DS3229","","","","1","2","","",""
"131","注射用肌苷","迪力","DR4001","DS507","1","Y","14","2","1","","",""
"132","注射用肌苷","迪力","DR4001","DS507","1","Y","14","1","1","","",""
"133","黄柏片","黄柏片","DR4002","DS3249","","","","","","","",""
"134","乳癖散结胶囊","","DR71797","DS3697","","","","1","2","","",""
"135","复方甘草铝镁片","","DR71822","DS3726","","","","2","2","","",""
"136","复方甘草铝镁片","","DR71822","DS3726","","","","1","1","","",""
"137","阿里红咳喘口服液","","DR71868","DS19396","","","","1","2","","",""
"138","八味沉香散","","DR72105","DS16721","","","","","","","",""
"139","安神补脑胶囊","","DR2989","DS159","","","","2","0","","0",""
"140","安神补脑胶囊","","DR2989","DS159","","","","1","0","","0",""
"141","安神补脑片","","DR913","DS1940","2","Y","14","2","0","","0",""
"142","安神补脑片","","DR913","DS1940","2","Y","14","1","2","","0",""
"143","安神补脑液","安神补脑液","DR1291","DS1852","","","","2","0","","0",""
"144","安神补脑液","安神补脑液","DR1291","DS1852","","","","1","0","","0",""
"145","安神补心胶囊","","DR1956","DS1941","","","","2","0","","0",""
"146","安神补心胶囊","","DR1956","DS1941","","","","1","1","","0",""
"147","安神补心片","","DR2888","DS160","","","","2","2","","0",""
"148","安神补心片","","DR2888","DS160","","","","1","2","","0",""
"149","安神补心丸","","DR1129","DS161","","","","1","0","","0",""
"150","安神补心丸","","DR1129","DS161","","","","2","0","","0",""
"151","斑秃丸","","DR1139","DS2645","","","","2","0","","0",""
"152","斑秃丸","","DR1139","DS2645","","","","1","0","","0",""
"153","氨碘肽滴眼液","","DR2748","DS1228","","","","1","0","","0",""
"154","氨碘肽滴眼液","","DR2748","DS1228","","","","2","0","","0",""
"155","氨酚美伪麻片与苯酚伪麻片","达诺","DR1003","DS3658","","","","2","0","","0",""
"156","氨酚美伪麻片与苯酚伪麻片","达诺","DR1003","DS3658","","","","1","0","","0",""
"157","氨酚羟考酮片","泰勒宁","DR2584","DS1778","0","Y","14","2","1","","1",""
"158","氨酚羟考酮片","泰勒宁","DR2584","DS1778","0","Y","14","1","1","","1",""
"159","氨酚伪麻美芬片Ⅱ/氨麻苯美片","白加黑","DR551","DS3292","0","Y","12","1","1","","0",""
"160","氨酚伪麻美芬片Ⅱ/氨麻苯美片","白加黑","DR551","DS3292","0","Y","12","2","1","","0",""
"161","盐酸氨基葡萄糖片","步迈新","DR2631","DS23498","","","","1","1","","0",""
"162","盐酸氨基葡萄糖片","步迈新","DR2631","DS23498","","","","2","1","","0",""
"163","烟酸注射液","烟酸注射液","DR71643","DS245","","","","","","","",""
"164","氢溴酸右美沙芬分散片","迈生","DR71492","DS89","","","","1","2","","",""
"165","氢溴酸右美沙芬分散片","迈生","DR71492","DS89","","","","2","2","","",""
"166","参苏宣肺丸","","DR71506","DS3427","","","","1","2","","",""
"167","牛黄清热散","","DR71533","DS3457","","","","","","","",""
"168","炎消迪娜儿糖浆","炎消迪娜儿糖浆","DR71534","DS3458","","","","","","","",""
"169","硫酸吗啡缓释片","美施康定","DR1604","DS23489","2","Y","3","2","2","","1",""
"170","硫酸吗啡缓释片","美施康定","DR1604","DS23489","2","Y","3","1","2","","1",""
"171","枸橼酸莫沙必利分散片","新络纳","DR2664","DS2625","","","","2","1","","0",""
"172","枸橼酸莫沙必利分散片","新络纳","DR2664","DS2625","","","","1","1","","0",""
"173","罗格列酮片","文迪雅","DR1966","DS193","","","","1","1","","0",""
"174","罗格列酮片","文迪雅","DR1966","DS193","","","","2","1","","0",""
"175","盆炎净颗粒","盆炎净颗粒","DR71557","DS3491","","","","1","2","","",""
"176","蒙脱石散","","DR2078","DS537","","","","2","0","","0",""
"177","蒙脱石散","","DR2078","DS537","","","","1","0","","0",""
"178","注射用糜蛋白酶","注射用糜蛋白酶","DR3464","DS1614","","","","1","0","","0",""
"179","注射用糜蛋白酶","注射用糜蛋白酶","DR3464","DS1614","","","","2","0","","0",""
"180","泮托拉唑钠肠溶胶囊","","DR2522","DS2622","2","Y","3","2","2","","0",""
"181","泮托拉唑钠肠溶胶囊","","DR2522","DS2622","2","Y","3","1","2","","0",""
"182","泮托拉唑钠肠溶胶囊","","DR2522","DS2622","1","Y","14","2","2","","0",""
"183","泮托拉唑钠肠溶胶囊","","DR2522","DS2622","1","Y","14","1","2","","0",""
"184","醋酸可的松片","信谊","DR428","DS1253","","","","2","1","","1",""
"185","醋酸可的松片","信谊","DR428","DS1253","","","","1","1","","1",""
"186","复方米非司酮片","","DR2994","DS538","2","Y","14","2","0","","0",""
"187","复方米非司酮片","","DR2994","DS538","2","Y","14","1","0","","0",""
"188","复方曲安奈德乳膏","","DR2427","DS1976","1","Y","14","2","0","","0",""
"189","复方曲安奈德乳膏","","DR2427","DS1976","1","Y","14","1","1","","0",""
"190","枸橼酸喷托维林片","","DR953","DS1977","","","","2","0","","0",""
"191","枸橼酸喷托维林片","","DR953","DS1977","","","","1","0","","0",""
"192","注射用头孢噻肟钠","","DR2512","DS2667","1","Y","3","1","1","","0",""
"193","注射用头孢噻肟钠","","DR2512","DS2667","1","Y","3","2","1","","0",""
"194","头孢克肟片","","DR2222","DS539","","","","2","1","","0",""
"195","头孢克肟片","","DR2222","DS539","","","","1","1","","0",""
"196","注射用头孢曲松钠","","DR1667","DS1254","1","D","28","2","1","","0",""
"197","注射用头孢曲松钠","","DR1667","DS1254","1","D","28","1","1","","0",""
"198","双氯芬酸钠肠溶片","","DR2499","DS1616","2","Y","1","2","2","","1",""
"199","双氯芬酸钠肠溶片","","DR2499","DS1616","2","Y","1","1","2","","1",""
"200","替硝唑葡萄糖注射液","","DR1396","DS2275","2","Y","12","2","1","","0",""
"201","替硝唑葡萄糖注射液","","DR1396","DS2275","2","Y","12","1","2","","0",""
"202","枸橼酸他莫昔芬片","","DR477","DS2668","","","","2","2","","0",""
"203","枸橼酸他莫昔芬片","","DR477","DS2668","","","","1","2","","0",""
"204","乳酸菌素片","","DR1734","DS195","","","","1","0","","0",""
"205","碳酸氢钠注射液","","DR387","DS1255","","","","1","1","","0",""
"206","碳酸氢钠注射液","","DR387","DS1255","","","","2","0","","0",""
"207","头孢氨苄胶囊","","DR688","DS2276","","","","1","1","","0",""
"208","头孢氨苄胶囊","","DR688","DS2276","","","","2","1","","0",""
"209","头孢氨苄颗粒","","DR2005","DS2276","","","","2","1","","0",""
"210","头孢氨苄颗粒","","DR2005","DS2276","","","","1","1","","0",""
"211","土霉素片","","DR444","DS2277","1","Y","8","2","1","","0",""
"212","土霉素片","","DR444","DS2277","1","Y","8","1","1","","0",""
"213","托吡卡胺滴眼液","","DR1575","DS197","1","Y","3","2","0","","1",""
"214","托吡卡胺滴眼液","","DR1575","DS197","1","Y","3","1","0","","1",""
"215","替米沙坦片","","DR1991","DS1978","","","","1","1","","0",""
"216","替米沙坦片","","DR1991","DS1978","","","","2","2","","0",""
"217","注射用头孢哌酮钠舒巴坦钠","","DR1067","DS3641","","","","2","1","","0",""
"218","注射用头孢哌酮钠舒巴坦钠","","DR1067","DS3641","","","","1","1","","0",""
"219","注射用氨苄西林钠舒巴坦钠","","DR827","DS3657","","","","1","1","","1",""
"220","注射用氨苄西林钠舒巴坦钠","","DR827","DS3657","","","","2","1","","1",""
"221","注射用头孢他啶","","DR44","DS540","","","","2","1","","0",""
"222","注射用头孢他啶","","DR44","DS540","","","","1","1","","0",""
"223","头孢克洛颗粒","","DR2250","DS199","","","","2","1","","1",""
"224","头孢克洛颗粒","","DR2250","DS199","","","","1","1","","1",""
"225","注射用头孢米诺钠","","DR882","DS200","","","","2","1","","1",""
"226","注射用头孢米诺钠","","DR882","DS200","","","","1","1","","1",""
"227","硫酸沙丁胺醇注射液","","DR1869","DS23520","","","","1","1","","0",""
"228","硫酸沙丁胺醇注射液","","DR1869","DS23520","","","","2","1","","0",""
"229","牡蛎碳酸钙咀嚼片","","DR752","DS1619","","","","2","0","","0",""
"230","牡蛎碳酸钙咀嚼片","","DR752","DS1619","","","","1","0","","0",""
"231","头孢拉定颗粒","","DR703","DS1617","","","","2","1","","0",""
"232","头孢拉定颗粒","","DR703","DS1617","","","","1","1","","0",""
"233","缩宫素注射液","","DR2720","DS728","","","","1","0","","0",""
"234","缩宫素注射液","","DR2720","DS728","","","","2","0","","0",""
"235","头孢克肟胶囊","","DR899","DS539","","","","1","1","","0",""
"236","头孢克肟胶囊","","DR899","DS539","","","","2","1","","0",""
"237","注射用头孢唑肟钠","益保世灵","DR908","DS2281","","","","1","0","","0",""
"238","注射用头孢唑肟钠","益保世灵","DR908","DS2281","","","","2","1","","0",""
"239","注射用头孢硫脒","","DR3376","DS202","","","","2","0","","0",""
"240","注射用头孢硫脒","","DR3376","DS202","","","","1","1","","0",""
"241","注射用白眉蛇毒血凝酶","邦亭","DR2398","DS1980","","","","2","0","","0",""
"242","注射用白眉蛇毒血凝酶","邦亭","DR2398","DS1980","","","","1","1","","0",""
"243","清瘟解毒丸","","DR71545","DS3481","","","","","","","",""
"244","气滞胃痛颗粒","气滞胃痛颗粒","DR71624","DS3537","","","","1","1","","",""
"245","亚叶酸钙胶囊","欧力","DR71649","DS1098","","","","","","","",""
"246","复方鳖甲软肝片","福瑞中蒙","DR71652","DS3552","","","","1","2","","",""
"247","亚硫酸氢钠甲萘醌片","亚硫酸氢钠甲萘醌片","DR71663","DS3557","","","","","","","",""
"248","血栓通胶囊","血栓通胶囊","DR71685","DS3575","","","","","","","",""
"249","复方地龙片","","DR71741","DS3612","","","","","","","",""
"250","仁青芒觉","","DR71754","DS3638","","","","","","","",""
"251","乳块消胶囊","","DR71769","DS3674","","","","1","2","","",""
"252","复方虫草补肾口服液","复方虫草补肾口服液","DR2007","DS230","2","Y","14","1","2","","",""
"253","异维A酸胶丸","异维A酸胶丸","DR2757","DS1633","","","","2","2","肾功能不全","2",""
"254","异维A酸胶丸","异维A酸胶丸","DR2757","DS1633","","","","1","2","肾功能不全","2",""
"255","异维A酸胶丸","异维A酸胶丸","DR2757","DS1633","","","","2","2","肝功能不全","2",""
"256","异维A酸胶丸","异维A酸胶丸","DR2757","DS1633","","","","1","2","肝功能不全","2",""
"257","黄芪三七口服液","黄芪三七口服液","DR1366","DS1634","","","","","","","",""
"258","来氟米特胶囊","","DR83669","DS2617","","","","","","","",""
"259","益气维血片","益气维血片","DR571","DS2684","","","","","","","",""
"260","来昔决南钐[153Sm]注射液","","DR83672","DS21743","","","","1","2","","",""
"261","来昔决南钐[153Sm]注射液","","DR83672","DS21743","","","","2","2","","",""
"262","赖氨匹林肠溶胶囊","麦乐新","DR83674","DS2088","1","Y","12","1","2","","",""
"263","赖氨匹林肠溶胶囊","麦乐新","DR83674","DS2088","1","Y","12","2","2","","",""
"264","赖氨匹林肠溶胶囊","麦乐新","DR83674","DS2088","2","M","3","1","2","","",""
"265","赖氨匹林肠溶胶囊","麦乐新","DR83674","DS2088","2","M","3","2","2","","",""
"266","赖氨葡锌片","","DR83679","DS21744","","","","","","","",""
"267","赖氨酸茶碱片","","DR83680","DS21749","","","","1","1","","1",""
"268","赖氨酸茶碱片","","DR83680","DS21749","","","","2","1","","1",""
"269","赖氨酸磷酸氢钙颗粒","","DR83681","DS21751","","","","","","","",""
"270","赖氨酸磷酸氢钙片","","DR83682","DS21751","","","","","","","",""
"271","赖氨酸维B12颗粒","","DR83683","DS21756","","","","","","","",""
"272","劳拉西泮片","罗拉","DR83695","DS21758","1","Y","12","1","1","","",""
"273","劳拉西泮片","罗拉","DR83695","DS21758","1","Y","12","2","1","","",""
"274","雷公藤内酯软膏","","DR83698","DS21760","1","Y","14","","","","",""
"275","雷米普利片","瑞素坦","DR83699","DS21763","2","Y","14","1","2","","1",""
"276","雷米普利片","瑞素坦","DR83699","DS21763","2","Y","14","2","2","","1",""
"277","利巴韦林胶囊","","DR83705","DS1894","","","","1","2","","",""
"278","利巴韦林喷剂","","DR83710","DS1894","","","","","","","",""
"279","利多卡因气雾剂","利多卡因气雾剂","DR83720","DS2634","1","D","28","1","1","","",""
"280","利凡诺创伤膏","","DR83721","DS21774","","","","","","","",""
"281","利福平胶囊(Ⅱ)","","DR83732","DS23459","1","Y","1","1","1","","",""
"282","利福平胶囊(Ⅱ)","","DR83732","DS23459","1","Y","1","1","2","","",""
"283","利福平胶丸","","DR83733","DS1204","","","","1","1","","",""
"284","利福平乳膏","","DR83735","DS1204","","","","","","","",""
"285","艾迪注射液","艾迪注射液","DR2551","DS1635","0","Y","","2","2","","0",""
"286","艾迪注射液","艾迪注射液","DR2551","DS1635","0","Y","","1","2","","0",""
"287","安宫牛黄胶囊","安宫牛黄胶囊","DR2531","DS571","0","Y","","2","2","","0",""
"288","安宫牛黄胶囊","安宫牛黄胶囊","DR2531","DS571","0","Y","","1","2","","0",""
"289","安胎丸","安胎丸","DR1829","DS1294","0","Y","","2","0","","0",""
"290","安胎丸","安胎丸","DR1829","DS1294","0","Y","","1","0","","0",""
"291","灵芝二维甲硫氨酸胶囊","灵芝二维甲硫氨酸胶囊","DR1038","DS3473","0","Y","","2","0","","0",""
"292","灵芝二维甲硫氨酸胶囊","灵芝二维甲硫氨酸胶囊","DR1038","DS3473","0","Y","","1","0","","0",""
"293","氨酚伪麻颗粒","氨酚伪麻颗粒","DR3288","DS752","0","Y","","2","0","","0",""
"294","氨酚伪麻颗粒","氨酚伪麻颗粒","DR3288","DS752","0","Y","","1","0","","0",""
"295","贞芪扶正胶囊","贞芪扶正胶囊","DR353","DS231","","","","","","","",""
"296","氨酚伪麻美芬片","日夜百服咛","DR302","DS1636","0","Y","","2","0","","0",""
"297","氨酚伪麻美芬片","日夜百服咛","DR302","DS1636","0","Y","","1","0","","0",""
"298","马应龙八宝眼粉","马应龙八宝眼粉","DR476","DS2316","0","Y","","2","0","","0",""
"299","马应龙八宝眼粉","马应龙八宝眼粉","DR476","DS2316","0","Y","","1","0","","0",""
"300","藻酸双酯钠注射液","藻酸双酯钠注射液","DR686","DS753","","","","","","","",""
"301","右旋糖酐40葡萄糖注射液","右旋糖酐40葡萄糖注射液","DR1918","DS754","","","","2","0","","",""
"302","右旋糖酐40葡萄糖注射液","右旋糖酐40葡萄糖注射液","DR1918","DS754","","","","1","1","","",""
"303","阿司匹林咀嚼片","安尼妥","DR287","DS1969","2","M","3","1","2","","1",""
"304","阿司匹林咀嚼片","安尼妥","DR287","DS1969","2","M","3","2","2","","1",""
"305","阿司匹林咀嚼片","安尼妥","DR287","DS1969","1","Y","14","1","2","","1",""
"306","阿司匹林咀嚼片","安尼妥","DR287","DS1969","1","Y","14","2","2","","1",""
"307","盐酸多沙普仑注射液","","DR2153","DS1637","1","Y","12","2","1","","",""
"308","盐酸多沙普仑注射液","","DR2153","DS1637","1","Y","12","1","1","","",""
"309","注射用盐酸大观霉素","卓青","DR1941","DS573","2","D","28","2","1","","",""
"310","注射用盐酸大观霉素","卓青","DR1941","DS573","2","D","28","1","2","","",""
"311","注射用缩宫素","","DR1","DS728","","","","","","","",""
"312","氨酪酸氯化钠注射液","慧友","DR1984","DS1638","","","","","","","",""
"313","苦参碱注射液","斯巴特康","DR2685","DS2688","","","","2","1","","",""
"314","苦参碱注射液","斯巴特康","DR2685","DS2688","","","","1","1","","",""
"315","注射用骨肽(I)","西若非","DR536","DS574","","","","1","2","","",""
"316","注射用骨肽(I)","西若非","DR536","DS574","","","","2","2","","",""
"317","中风回春片","中风回春片","DR2744","DS755","","","","","","","",""
"318","安胃止痛片","安胃止痛片","DR2065","DS2022","","","","","","","",""
"319","百梅止咳颗粒","百梅止咳颗粒","DR880","DS575","","","","","","","",""
"320","布美他尼注射液","布美他尼注射液","DR1115","DS2023","","","","2","1","","",""
"321","布美他尼注射液","布美他尼注射液","DR1115","DS2023","","","","1","1","","",""
"322","三七冠心宁片","三七冠心宁片","DR190","DS233","","","","","","","",""
"323","正柴胡饮胶囊","正柴胡饮胶囊","DR1217","DS2319","","","","1","2","","",""
"324","复方碳酸钙泡腾颗粒","盖笛欣","DR3027","DS2320","","","","","","","",""
"325","鱼石脂软膏","鱼石脂软膏","DR2672","DS1640","","","","","","","",""
"326","氯雷他定颗粒","华畅","DR1431","DS1544","","","","1","1","","0",""
