"   ","ID","ITEM_NAME","RATIO0","ID1","ITEM1","RATIO1","ID2","ITEM2","RATIO2","ID3","ITEM3","RATIO3","ID4","ITEM4","CNT","RATIO4"
"11","VI5432","肺炎链球菌抗原快速检测","0.875","VI2781","细菌抗原分析","0.0002","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"12","VI5433","血清胃蛋白酶原I测定","0.0521","VI2783","血清胃蛋白酶原Ⅰ测定","0.0726","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"13","VI5434","血清胃蛋白酶原Ⅱ测定","0.0578","VI2783","血清胃蛋白酶原Ⅰ测定","0.0726","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"14","VI2784","血清胃蛋白酶原Ⅱ测定","0.6382","VI2783","血清胃蛋白酶原Ⅰ测定","0.0726","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"15","VI2773","肿瘤坏死因子测定(TNF)","1","VI4990","肿瘤坏死因子测定(TNF)","0.0009","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"16","VI4988","甲胎蛋白测定(AFP)","0.8379","VI2756","甲胎蛋白测定(AFP)","0.8807","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"17","VI2762","游离前列腺特异性抗原测定(FPSA)","0.9664","VI2761","游离前列腺特异性抗原测定(FPSA)","0.2091","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"18","VI2768","细胞角蛋白19片段测定(CYFRA21-1)","0.8216","VI2767","细胞角蛋白19片段测定(CYFRA21-1)","0.4083","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"19","VI2760","总前列腺特异性抗原测定(TPSA)","0.9108","VI2759","总前列腺特异性抗原测定(TPSA)","0.3992","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"20","VI2766","神经元特异性烯醇化酶测定(NSE)","0.8577","VI2765","神经元特异性烯醇化酶测定(NSE)","0.408","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"21","VI4975","乙型肝炎表面前S抗原测定","0.8469","VI2674","乙型肝炎表面前S抗原测定","0.1698","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"22","VI2676","乙型肝炎表面前S抗体测定","0.375","VI2675","乙型肝炎表面前S抗体测定","0.0002","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"23","VI2679","丙型肝炎抗体测定(Anti-HCV)","0.3233","VI2678","丙型肝炎抗体测定(Anti-HCV)","0.6173","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"24","VI2680","丙型肝炎抗体测定","0.0429","VI2678","丙型肝炎抗体测定(Anti-HCV)","0.6173","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"25","VI2685","戊型肝炎抗体测定(Anti-HEV)","0.0001","VI2683","戊型肝炎抗体测定(Anti-HEV)","0.271","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"26","VI2684","戊型肝炎抗体测定(Anti-HEV)","0.0007","VI2683","戊型肝炎抗体测定(Anti-HEV)","0.271","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"27","VI2689","人免疫缺陷病毒抗体测定(Anti-HIV)","0.316","VI2687","人免疫缺陷病毒抗体测定(Anti-HIV)","0.3575","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"28","VI2691","艾滋病抗体测定","0.092","VI2687","人免疫缺陷病毒抗体测定(Anti-HIV)","0.3575","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"29","VI2690","人免疫缺陷病毒抗体测定(Anti-HIV)","0.0206","VI2687","人免疫缺陷病毒抗体测定(Anti-HIV)","0.3575","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"30","VI2688","人免疫缺陷病毒抗体测定(Anti-HIV)","0.5119","VI2687","人免疫缺陷病毒抗体测定(Anti-HIV)","0.3575","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"31","VI4978","弓形体抗体测定","0.0217","VI2692","弓形体抗体测定","0.001","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"32","VI2695","巨细胞病毒抗体测定","0.3256","VI2694","巨细胞病毒抗体测定","0.0009","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"33","VI2658","甲型肝炎抗体测定(Anti-HAV)","0.2365","VI2656","甲型肝炎抗体测定(Anti-HAV)","0.1401","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"34","VI4973","甲型肝炎抗体测定(Anti-HAV)","0.0986","VI2656","甲型肝炎抗体测定(Anti-HAV)","0.1401","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"35","VI2657","甲型肝炎抗体测定(Anti-HAV)","0.3501","VI2656","甲型肝炎抗体测定(Anti-HAV)","0.1401","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"36","VI5425","乙型肝炎病毒脱氧核糖核酸扩增定量检测","0.2857","VI2661","乙型肝炎DNA测定","0.0001","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"37","VI2664","乙型肝炎表面抗原测定","0.1813","VI2662","乙型肝炎表面抗原测定(HBsAg)","0.7085","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"38","VI2663","乙型肝炎表面抗原测定(HBsAg)","0.4596","VI2662","乙型肝炎表面抗原测定(HBsAg)","0.7085","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"39","VI4974","乙型肝炎表面抗体测定(Anti-HBs)","0.6668","VI2665","乙型肝炎表面抗体测定(Anti-HBs)","0.6792","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"40","VI2669","乙型肝炎e抗体测定(Anti-HBe)","0.6018","VI2668","乙型肝炎e抗体测定(Anti-HBe)","0.6585","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"41","VI2672","乙型肝炎核心抗体测定(Anti-HBc)","0.6453","VI2671","乙型肝炎核心抗体测定(Anti-HBc)","0.6817","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"42","VI2697","单纯疱疹病毒抗体测定","0.1053","VI2696","单纯疱疹病毒抗体测定","0.0004","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"43","VI4398","腺病毒抗体测定","0.0769","VI2705","腺病毒抗体测定","0.0008","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"44","VI2720","抗链球菌溶血素O测定(ASO)","0.881","VI2719","抗链球菌溶血素O测定(ASO)","0.3299","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"45","VI2735","快速血浆反应素试验(RPR)","0.2912","VI2734","快速血浆反应素试验(RPR)","0.0943","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"46","VI4399","各类病原体DNA测定","0.9831","VI2746","各类病原体DNA测定","0.0114","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"47","VI2749","人乳头瘤病毒（HPV)分型检测","0.15","VI2747","人乳头瘤病毒(HPV)核酸检测","0.0047","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"48","VI2748","人乳头瘤病毒(HPV)DNA检测","0.2409","VI2747","人乳头瘤病毒(HPV)核酸检测","0.0047","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"49","VI2681","丁型肝炎抗体测定(Anti-HDV)","0.0787","VI4976","丁型肝炎抗体测定(Anti-HDV)","0.0027","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"50","VI2718","幽门螺杆菌抗体测定","0.4884","VI4981","细菌抗体测定","0.0601","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"51","VI2715","细菌抗体测定","0.0164","VI4981","细菌抗体测定","0.0601","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"52","VI2717","细菌抗体测定","0.0153","VI4981","细菌抗体测定","0.0601","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"53","VI4984","梅毒螺旋体特异抗体测定","0.0816","VI2730","梅毒螺旋体特异抗体测定","0.3142","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"54","VI2732","梅毒螺旋体特异抗体测定","0.4245","VI2730","梅毒螺旋体特异抗体测定","0.3142","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"55","VI2733","梅毒螺旋体特异抗体测定","0.3847","VI2730","梅毒螺旋体特异抗体测定","0.3142","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"56","VI2731","梅毒螺旋体特异抗体测定","0.0637","VI2730","梅毒螺旋体特异抗体测定","0.3142","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"57","VI2700","EB病毒抗体测定","0.4","VI2699","EB病毒抗体测定","0.0003","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"58","VI5426","丙型肝炎病毒核糖核酸扩增定量检测","0.025","VI2677","丙型肝炎RNA测定","0.0009","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"59","VI2727","肺炎支原体血清学试验","0.7238","VI2726","肺炎支原体血清学试验","0.0045","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"60","VI2728","肺炎支原体血清学试验","0.2286","VI2726","肺炎支原体血清学试验","0.0045","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"61","VI2667","乙型肝炎e抗原测定(HBeAg)","0.6175","VI2666","乙型肝炎e抗原测定(HBeAg)","0.6643","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"62","VI5429","呼吸道病毒抗原鉴定","0.0789","VI5428","呼吸道感染病原体IgM抗体检测","0.0141","VI2655","感染免疫学检测","0.8082","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"63","VI239","抗核抗体测定(ANA)","0.4938","VI237","抗核抗体测定(ANA)","0.2508","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"64","VI5404","抗核抗体测定(ANA)","0.0043","VI237","抗核抗体测定(ANA)","0.2508","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"65","VI238","抗核抗体测定(ANA)","0.5015","VI237","抗核抗体测定(ANA)","0.2508","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"66","VI242","抗单链DNA测定","0.9753","VI241","抗单链DNA测定","0.0354","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"67","VI5407","抗中性粒细胞蛋白酶3抗体(PR3-ANCA）检测","0.067","VI243","抗中性粒细胞胞浆抗体测定（ANCA）","0.096","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"68","VI245","抗双链DNA测定(抗dsDNA)","0.4969","VI244","抗双链DNA测定(抗dsDNA)","0.2093","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"69","VI5411","抗双链DNA测定(抗IgG)","0.0003","VI244","抗双链DNA测定(抗dsDNA)","0.2093","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"70","VI246","抗双链DNA测定(抗dsDNA)","0.4999","VI244","抗双链DNA测定(抗dsDNA)","0.2093","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"71","VI252","抗核糖体抗体测定","0.6119","VI251","抗核糖体抗体测定","0.0023","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"72","VI260","抗心磷脂抗体测定(ACA)","0.9239","VI259","抗心磷脂抗体测定(ACA)","0.0151","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"73","VI263","抗甲状腺球蛋白抗体测定(TGAb)","0.1971","VI261","抗甲状腺球蛋白抗体测定(TGAb)","0.6095","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"74","VI262","抗甲状腺球蛋白抗体测定(TGAb)","0.8422","VI261","抗甲状腺球蛋白抗体测定(TGAb)","0.6095","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"75","VI265","抗甲状腺微粒体抗体测定(TMAb)","0.2768","VI264","抗甲状腺微粒体抗体测定(TMAb)","0.1032","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"76","VI5415","抗胰岛素抗体测定","0.0018","VI272","抗胰岛素抗体测定","0.038","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"77","VI273","抗胰岛素抗体测定","0.5545","VI272","抗胰岛素抗体测定","0.038","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"78","VI5418","抗环瓜氨酸肽(抗RA/CP)抗体测定","0.0319","VI2649","抗环瓜氨酸肽抗体(抗CCP抗体)测定","0.0507","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"79","VI240","抗核提取物抗体测定(抗ENA抗体)","0.001","VI4441","抗核提取物抗体测定(抗ENA抗体)","0.2829","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"80","VI253","抗核糖核蛋白抗体测定","0.8354","VI4442","抗核糖核蛋白抗体测定","0.1327","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"81","VI5414","抗肾小球基底膜抗体测定(GBM)","0.1097","VI266","抗肾小球基底膜抗体测定","0.0436","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"82","VI5416","抗内因子抗体检测","0.9711","VI280","抗内因子抗体测定","0.0525","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"83","VI2644","类风湿因子(RF)测定","0.8592","VI5197","类风湿因子(RF)测定","0.5033","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"84","VI248","抗线粒体抗体测定(AMA)","0.9591","VI247","抗线粒体抗体测定(AMA)","0.1491","VI235","自身免疫病的实验诊断","0.5129","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"85","VI4439","C—反应蛋白测定(CRP)","0.0002","VI224","C—反应蛋白测定(CRP)","0.4561","VI198","免疫功能测定","0.425","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"86","VI225","C-反应蛋白测定(CRP)","0.0171","VI224","C—反应蛋白测定(CRP)","0.4561","VI198","免疫功能测定","0.425","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"87","VI218","补体测定（C3、C4）","0.0367","VI217","单项补体测定","0.6182","VI198","免疫功能测定","0.425","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"88","VI222","免疫球蛋白定量测定","0.7895","VI221","免疫球蛋白定量测定","0.6235","VI198","免疫功能测定","0.425","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"89","VI417","肌酐测定","0.2684","VI416","肌酐测定","0.9258","VI413","肾脏疾病的实验诊断","0.881","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"90","VI424","尿转铁蛋白测定","1","VI423","尿转铁蛋白测定","0.009","VI413","肾脏疾病的实验诊断","0.881","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"91","VI4470","尿α1微量球蛋白测定","0.0006","VI425","尿α1微量球蛋白测定","0.0285","VI413","肾脏疾病的实验诊断","0.881","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"92","VI427","β2微球蛋白测定","0.1834","VI426","β2微球蛋白测定","0.2005","VI413","肾脏疾病的实验诊断","0.881","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"93","VI421","尿微量白蛋白测定","0.2879","VI4469","尿微量白蛋白测定","0.1337","VI413","肾脏疾病的实验诊断","0.881","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"94","VI422","尿微量白蛋白测定","0.4308","VI4469","尿微量白蛋白测定","0.1337","VI413","肾脏疾病的实验诊断","0.881","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"95","VI445","α1—微球蛋白测定","0.9317","VI4474","α1—微球蛋白测定","0.0295","VI413","肾脏疾病的实验诊断","0.881","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"96","VI429","尿蛋白电泳分析","1","VI428","尿蛋白电泳分析","0","VI413","肾脏疾病的实验诊断","0.881","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"97","VI415","尿素测定","0.2585","VI414","尿素测定","0.918","VI413","肾脏疾病的实验诊断","0.881","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"98","VI348","血清总胆红素测定","0.0826","VI347","血清总胆红素测定","0.9449","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"99","VI4388","血清间接胆红素测定","0.0319","VI350","血清间接胆红素测定","0.3548","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"100","VI351","血清间接胆红素测定","0.8084","VI350","血清间接胆红素测定","0.3548","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"101","VI353","血清总胆汁酸测定","0.2609","VI352","血清总胆汁酸测定","0.4631","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"102","VI355","血浆氨测定","0.9773","VI354","血浆氨测定","0.0737","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"103","VI363","血清γ-谷氨酰基转移酶测定","0.8236","VI361","血清γ-谷氨酰基转移酶测定","0.8722","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"104","VI362","血清γ-谷氨酰基转移酶测定","0.0009","VI361","血清γ-谷氨酰基转移酶测定","0.8722","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"105","VI5393","血清γ-谷氨酰转肽酶同工酶Ⅱ检测","0.6872","VI364","血清γ-谷氨酰基转移酶同工酶电泳","0.0065","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"106","VI357","血清丙氨酸氨基转移酶测定","0.83","VI4459","血清丙氨酸氨基转移酶测定","0.904","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"107","VI356","血清丙氨酸氨基转移酶测定","0.0011","VI4459","血清丙氨酸氨基转移酶测定","0.904","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"108","VI360","血清天门冬氨酸氨基转移酶测定","0.8341","VI358","血清天门冬氨酸氨基转移酶测定","0.9348","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"109","VI4460","天冬酸氨基转移酶线粒体同功酶检测","0.3968","VI358","血清天门冬氨酸氨基转移酶测定","0.9348","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"110","VI359","血清天门冬氨酸氨基转移酶测定","0.0011","VI358","血清天门冬氨酸氨基转移酶测定","0.9348","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"111","VI370","血清骨型碱性磷酸酶质量测定","0.0864","VI369","血清骨型碱性磷酸酶质量测定","0.0232","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"112","VI372","血清胆碱脂酶测定","0.3851","VI4369","血清胆碱脂酶测定","0.4515","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"113","VI4461","血清碱性磷酸酶同工酶电泳分析","1","VI368","血清碱性磷酸酶同工酶电泳分析","0.0013","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"114","VI4458","血清直接胆红素测定","0.0253","VI349","血清直接胆红素测定","0.8891","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"115","VI5394","血清碱性磷酸酶测定","0.006","VI365","血清碱性磷酸酶测定","0.9026","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"116","VI367","血清碱性磷酸酶测定","0.8519","VI365","血清碱性磷酸酶测定","0.9026","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"117","VI366","血清碱性磷酸酶测定","0.0008","VI365","血清碱性磷酸酶测定","0.9026","VI346","肝病的实验诊断","0.8918","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"118","VI5402","I型胶原羧基末端肽(CTx)测定","0.4629","VI196","I型胶原羧基端前肽(PICP)测定","0.9477","VI191","骨质疏松的实验诊断","0.0494","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"119","VI4491","血清抗谷氨酸脱羧酶抗体测定","0.9388","VI541","血清抗谷氨酸脱羧酶抗体测定","0.005","VI4479","激素测定","0.5527","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
"120","VI471","血清促甲状腺激素测定","0.9043","VI470","血清促甲状腺激素测定","0.9078","VI4479","激素测定","0.5527","VI171","3．临床化学检查","0.9817","VI1082","(五)检验","71757","0.2474"
