"   ","ID_DR","NAME_DR","RATIO_DR","ID_DS","NAME_DS","RATIO_DS","ID_BG_DS","NAME_BG_DS","RATIO_BG_DS","ID_CATEGORY1","NAME_CATEGORY1","RATIO_CATEGORY1","ID_CATEGORY2","NAME_CATEGORY2","RATIO_CATEGORY2","ID_CATEGORY3","NAME_CATEGORY3","RATIO_CATEGORY3","ID_CATEGORY4","NAME_CATEGORY4","RATIO_CATEGORY4","ID_CATEGORY5","NAME_CATEGORY5","RATIO_CATEGORY5","ID_CATEGORY6","NAME_CATEGORY6","RATIO_CATEGORY6"
"18","DR2156","氯化钾注射液","0.6361","DS138","氯化钾","0.9999","DG6451","氯化钾","0.9577","DC469","钾制剂","0.9245","DC134","矿物质补充剂","0.2919","DC26","消化道和代谢方面的药物","0.3097","DC2","西药","0.7954","","","","","",""
"19","DR1543","高渗氯化钠羟乙基淀粉40注射液","1","DS3623","高渗氯化钠羟乙基淀粉40","0.1","DG13854","羟乙基淀粉40氯化钠","0.0326","DC962","血液代用品和血浆蛋白成分","1","DC443","血液和相关制品","0.0103","DC125","血液代用品和灌注液","0.5985","DC24","血液和造血器官药","0.6434","DC2","西药","0.7954","","",""
"20","DR1995","咪达唑仑注射液","1","DS2225","咪达唑仑","0.964","DG12801","咪达唑仑","0.0064","DC833","苯二氮卓衍生物","0.9335","DC373","催眠药和镇静药","0.7896","DC104","精神安定药","0.1691","DC20","神经系统药物","0.6013","DC2","西药","0.7954","","",""
"21","DR475","盐酸罗哌卡因注射液","0.7288","DS1209","盐酸罗哌卡因","0.9077","DG13490","罗哌卡因","0.0196","DC807","酰胺类","0.9764","DC364","局部麻醉剂","0.9585","DC101","麻醉剂","0.0255","DC20","神经系统药物","0.6013","DC2","西药","0.7954","","",""
"22","DR738","注射用七叶皂苷钠","1","DS1922","七叶皂苷钠","1","DG12109","七叶皂苷","0.0686","DC457","其他关节和肌肉痛局部用药","0.2785","DC129","关节和肌肉痛局部用药","0.3897","DC25","肌肉-骨骼系统药物","0.0559","DC2","西药","0.7954","","","","","",""
"23","DR738","注射用七叶皂苷钠","1","DS1922","七叶皂苷钠","1","DG12109","七叶皂苷","0.0216","DC1083","生物黄酮类","1","DC532","毛细血管稳定剂","0.6748","DC150","血管保护剂","0.0437","DC27","心血管系统","0.6531","DC2","西药","0.7954","","",""
"24","DR3036","硫酸羟氯喹片","1","DS2626","硫酸羟氯喹","1","DG13280","羟氯喹","1","DC888","氨基喹啉类","1","DC395","抗疟药","0.1683","DC109","抗原虫药","0.3497","DC22","抗寄生虫药，杀虫药和驱虫药","0.0049","DC2","西药","0.7954","","",""
"25","DR1146","氢化泼尼松注射液","1","DS144","氢化泼尼松","1","DG11082","氢化泼尼松","0.0123","DC603","糖皮质激素类","1","DC262","全身用皮质激素的单方制剂","1","DC73","全身用皮质激素类","0.7202","DC15","系统性激素制剂，不含性激素和胰岛素","0.02","DC2","西药","0.7954","","",""
"26","DR1732","泮托拉唑钠肠溶片","0.0175","DS2622","泮托拉唑钠","1","DG10782","泮托拉唑","0.2352","DC1020","质子泵抑制剂","0.9927","DC485","治疗消化性溃疡病和胃食道反流病的药物","0.9463","DC138","治疗胃酸相关类疾病的药物","0.3623","DC26","消化道和代谢方面的药物","0.3097","DC2","西药","0.7954","","",""
"27","DR1692","丁酸氢化可的松乳膏","1","DS19941","丁酸氢化可的松","0.5543","DG11620","氢化可的松","0.6388","DC935","弱效皮质激素类药（I组）","0.2835","DC429","皮质激素类的单方药","0.9319","DC120","皮科用皮质激素类","0.1463","DC23","皮肤病用药","0.0792","DC2","西药","0.7954","","",""
"28","DR1692","丁酸氢化可的松乳膏","1","DS19941","丁酸氢化可的松","0.5543","DG11620","氢化可的松","0.2159","DC867","眼科用皮质激素类的单方药","0.4248","DC382","眼科用抗炎药","0.053","DC106","眼科用药","1","DC21","感觉器官药物","0.402","DC2","西药","0.7954","","",""
"29","DR1692","丁酸氢化可的松乳膏","1","DS19941","丁酸氢化可的松","0.5543","DG11620","氢化可的松","0.1354","DC603","糖皮质激素类","1","DC262","全身用皮质激素的单方制剂","1","DC73","全身用皮质激素类","0.7202","DC15","系统性激素制剂，不含性激素和胰岛素","0.02","DC2","西药","0.7954","","",""
"30","DR3113","门冬氨酸鸟氨酸注射液","0.0667","DS1830","门冬氨酸鸟氨酸","1","DG12227","门冬氨酸鸟氨酸","0.0217","DC1036","肝脏治疗药","1","DC509","肝脏治疗药，抗脂肪肝药","0.933","DC145","胆和肝治疗药","0.0311","DC26","消化道和代谢方面的药物","0.3097","DC2","西药","0.7954","","",""
"31","DR71487","参芪降糖颗粒","1","DS3417","参芪降糖颗粒","1","DG7090","参芪降糖颗粒","0.2148","DC226","内科益气养阴剂","0.0285","DC57","内科扶正剂","0.0819","DC10","内科用药","0.9704","DC1","中成药","0.6812","","","","","",""
"32","DR72166","色甘酸钠滴眼液","1","DS20733","色甘酸钠","1","DG13453","色甘酸钠","0.0207","DC854","其他抗过敏药","0.9812","DC379","减充血药及抗过敏药","0.0074","DC106","眼科用药","1","DC21","感觉器官药物","0.402","DC2","西药","0.7954","","",""
"33","DR72166","色甘酸钠滴眼液","1","DS20733","色甘酸钠","1","DG13453","色甘酸钠","0.875","DC783","不包括皮质激素的抗过敏药物","0.0048","DC350","减轻充血药及其他鼻局部用药","1","DC97","鼻部制剂","0.2223","DC19","呼吸系统","0.0652","DC2","西药","0.7954","","",""
"34","DR72166","色甘酸钠滴眼液","1","DS20733","色甘酸钠","1","DG13453","色甘酸钠","1","DC778","不包括皮质激素抗过敏药物","0.0134","DC349","治疗阻塞性气道疾病的其他吸入药物","0.2744","DC96","用于阻塞性气道疾病的药物","0.2535","DC19","呼吸系统","0.0652","DC2","西药","0.7954","","",""
"35","DR1861","骨瓜提取物注射液","0.6","DS145","骨瓜提取物","1","DG12131","骨瓜提取物","0.0105","DC131","其他肌肉-骨骼系统疾病用药","0.0742","DC25","肌肉-骨骼系统药物","0.0559","DC2","西药","0.7954","","","","","","","","",""
"36","DR1444","黄体酮注射液","1","DS1202","黄体酮","1","DG13437","黄体酮","0.3333","DC667","孕甾烯（4）衍生物","0.375","DC304","孕激素类","0.0497","DC83","生殖系统的性激素和调节剂","0.008","DC17","泌尿生殖系统药和性激素","0.0872","DC2","西药","0.7954","","",""
"37","DR2439","盐酸甲氧氯普胺注射液","1","DS23549","盐酸甲氧氯普胺","0.9361","DG10687","甲氧氯普胺","0.3605","DC478","胃肠动力药","0.8778","DC137","治疗功能性胃肠道疾病的药物","0.0852","DC26","消化道和代谢方面的药物","0.3097","DC2","西药","0.7954","","","","","",""
"38","DR1370","重酒石酸间羟胺注射液","1","DS1210","重酒石酸间羟胺","1","DG3989","间羟胺","0.2813","DC1062","肾上腺素能和多巴胺能类药","0.976","DC520","强心苷类除外的心脏兴奋药","0.0309","DC147","心脏治疗药","0.2061","DC27","心血管系统","0.6531","DC2","西药","0.7954","","",""
"39","DR709","肌苷葡萄糖注射液","1","DS149","肌苷葡萄糖","0.0399","DG12750","肌苷","0.2819","DC237","其他免疫增强剂","0.9082","DC65","免疫兴奋剂","0.5933","DC14","抗肿瘤药及免疫调节剂","0.0079","DC2","西药","0.7954","","","","","",""
"40","DR709","肌苷葡萄糖注射液","1","DS149","肌苷葡萄糖","0.0399","DG12750","肌苷","0.133","DC1036","肝脏治疗药","1","DC509","肝脏治疗药，抗脂肪肝药","0.933","DC145","胆和肝治疗药","0.0311","DC26","消化道和代谢方面的药物","0.3097","DC2","西药","0.7954","","",""
"41","DR2661","加巴喷丁胶囊","0.9986","DS2227","加巴喷丁","1","DG10749","加巴喷丁","0.7255","DC355","其他抗癫痫药","0.1803","DC98","抗癫痫药","0.0401","DC20","神经系统药物","0.6013","DC2","西药","0.7954","","","","","",""
"42","DR829","甲氨蝶呤片","1","DS1578","甲氨蝶呤","1","DG7062","甲氨蝶呤","1","DC577","叶酸类似物","0.697","DC249","抗代谢药","0.0466","DC68","抗肿瘤药","0.3897","DC14","抗肿瘤药及免疫调节剂","0.0079","DC2","西药","0.7954","","",""
"43","DR829","甲氨蝶呤片","1","DS1578","甲氨蝶呤","1","DG7062","甲氨蝶呤","0.5476","DC247","其他免疫抑制剂","0.525","DC67","免疫抑制剂","0.044","DC14","抗肿瘤药及免疫调节剂","0.0079","DC2","西药","0.7954","","","","","",""
"44","DR3456","益血生胶囊","1","DS449","益血生胶囊","1","DG1120","益血生胶囊","0.0096","DC31","肿瘤辅助用药","0.995","DC4","肿瘤用药","0.0483","DC1","中成药","0.6812","","","","","","","","",""
"45","DR3061","乳果糖口服溶液","1","DS1891","乳果糖","1","DG10089","乳果糖","0.7558","DC498","渗透性泻药","0.2861","DC141","轻泻药","0.2004","DC26","消化道和代谢方面的药物","0.3097","DC2","西药","0.7954","","","","","",""
"46","DR3301","胆宁片","1","DS1794","胆宁片","1","DG1725","胆宁片","0.1041","DC156","外科清利肝胆剂","0.2789","DC28","外科清热剂","0.9798","DC3","外科用药","0.0185","DC1","中成药","0.6812","","","","","",""
"47","DR2498","灯盏花素注射液","1","DS1526","灯盏花素注射液","1","DG1571","灯盏花素注射液","0.0006","DC206","内科化瘀通脉剂","0.4684","DC51","内科祛瘀剂","0.8818","DC10","内科用药","0.9704","DC1","中成药","0.6812","","","","","",""
"48","DR2844","氟他胺片","1","DS2192","氟他胺","1","DG13189","氟他胺","0.1538","DC568","抗雄激素","0.5652","DC241","激素拮抗剂及相关药物","1","DC66","内分泌治疗用药","0.0127","DC14","抗肿瘤药及免疫调节剂","0.0079","DC2","西药","0.7954","","",""
"49","DR1832","宫血宁胶囊","1","DS2589","宫血宁胶囊","1","DG5217","宫血宁胶囊","0.1765","DC160","妇科清热剂内服药","0.5313","DC32","妇科清热剂","0.2238","DC5","妇科用药","0.0007","DC1","中成药","0.6812","","","","","",""
"50","DR203","和血明目片","1","DS1528","和血明目片","1","DG2605","和血明目片","0.0432","DC37","眼科扶正剂","0.2694","DC6","眼科用药","0.0126","DC1","中成药","0.6812","","","","","","","","",""
"51","DR485","桂枝茯苓胶囊","1","DS2590","桂枝茯苓胶囊","1","DG5215","桂枝茯苓胶囊","0.5085","DC163","妇科活血化瘀剂","0.9672","DC35","妇科理血剂","0.4266","DC5","妇科用药","0.0007","DC1","中成药","0.6812","","","","","",""
"52","DR3162","连翘败毒丸","1","DS1893","连翘败毒丸","1","DG5172","连翘败毒丸","0.0029","DC157","外科清热解毒剂","0.2856","DC28","外科清热剂","0.9798","DC3","外科用药","0.0185","DC1","中成药","0.6812","","","","","",""
"53","DR1326","升华硫软膏","1","DS1795","升华硫","1","DG13375","升华硫","1","DC897","含硫磺产品","0.9204","DC397","包括杀疥螨药的杀体外寄生虫药","1","DC110","包括杀疥螨药、杀虫剂及驱虫剂的杀体外寄生虫药","0.0993","DC22","抗寄生虫药，杀虫药和驱虫药","0.0049","DC2","西药","0.7954","","",""
"54","DR704","清开灵分散片","1","DS1529","清开灵分散片","1","DG6740","清开灵分散片","0.0034","DC189","内科清热开窍剂","1","DC47","内科开窍剂","0.104","DC10","内科用药","0.9704","DC1","中成药","0.6812","","","","","",""
"55","DR283","注射用青霉素钾","1","DS1895","青霉素钾","0.0132","DG5720","青霉素","0.9959","DC719","对β-内酰胺酶敏感的青霉素","0.3984","DC318","β-内酰胺类抗菌药，青霉素类","0.2751","DC90","全身用抗菌药","0.9519","DC18","全身用抗感染药","0.1011","DC2","西药","0.7954","","",""
"56","DR3352","硫酸阿托品片","0.0138","DS1899","硫酸阿托品","1","DG13255","阿托品","0.5452","DC869","眼科用抗胆碱药","1","DC383","散瞳药及睫状肌麻痹药","0.0072","DC106","眼科用药","1","DC21","感觉器官药物","0.402","DC2","西药","0.7954","","",""
"57","DR3352","硫酸阿托品片","0.0138","DS1899","硫酸阿托品","1","DG13255","阿托品","0.6033","DC1002","叔胺颠茄生物碱类","0.995","DC479","单方颠茄及其衍生物","0.0991","DC137","治疗功能性胃肠道疾病的药物","0.0852","DC26","消化道和代谢方面的药物","0.3097","DC2","西药","0.7954","","",""
"58","DR2206","阿维A胶囊","1","DS184","阿维A","1","DG9349","阿维A","1","DC922","维甲酸类治疗银屑病药","0.25","DC425","全身用治疗银屑病药","0.0049","DC119","治疗银屑病药","0.0447","DC23","皮肤病用药","0.0792","DC2","西药","0.7954","","",""
"59","DR1422","注射用阿昔洛韦","0.2844","DS465","阿昔洛韦","1","DG11886","阿昔洛韦","0.9214","DC907","抗病毒药物","1","DC410","局部用化疗药物","0.0883","DC113","皮肤病用抗生素和化疗药物","0.1419","DC23","皮肤病用药","0.0792","DC2","西药","0.7954","","",""
"60","DR1422","注射用阿昔洛韦","0.2844","DS465","阿昔洛韦","1","DG11886","阿昔洛韦","0.4627","DC856","抗病毒药","0.0573","DC380","眼科用抗感染药","0.0859","DC106","眼科用药","1","DC21","感觉器官药物","0.402","DC2","西药","0.7954","","",""
"61","DR1422","注射用阿昔洛韦","0.2844","DS465","阿昔洛韦","1","DG11886","阿昔洛韦","0.4884","DC702","核苷和核苷酸类，逆转录酶抑制剂除外","0.8727","DC315","直接作用的抗病毒药","1","DC89","全身用抗病毒药","0.0212","DC18","全身用抗感染药","0.1011","DC2","西药","0.7954","","",""
"62","DR956","阿昔洛韦乳膏","0.3507","DS465","阿昔洛韦","1","DG11886","阿昔洛韦","0.9214","DC907","抗病毒药物","1","DC410","局部用化疗药物","0.0883","DC113","皮肤病用抗生素和化疗药物","0.1419","DC23","皮肤病用药","0.0792","DC2","西药","0.7954","","",""
"63","DR956","阿昔洛韦乳膏","0.3507","DS465","阿昔洛韦","1","DG11886","阿昔洛韦","0.4627","DC856","抗病毒药","0.0573","DC380","眼科用抗感染药","0.0859","DC106","眼科用药","1","DC21","感觉器官药物","0.402","DC2","西药","0.7954","","",""
"64","DR956","阿昔洛韦乳膏","0.3507","DS465","阿昔洛韦","1","DG11886","阿昔洛韦","0.4884","DC702","核苷和核苷酸类，逆转录酶抑制剂除外","0.8727","DC315","直接作用的抗病毒药","1","DC89","全身用抗病毒药","0.0212","DC18","全身用抗感染药","0.1011","DC2","西药","0.7954","","",""
"65","DR3373","盐酸艾司洛尔注射液","0.7447","DS530","盐酸艾司洛尔","1","DG11358","艾司洛尔","0.0028","DC1099","选择性β-受体阻滞剂","0.9435","DC548","β-受体阻滞剂药","1","DC154","β-受体阻滞剂","0.1165","DC27","心血管系统","0.6531","DC2","西药","0.7954","","",""
"66","DR103","氨茶碱片","0.1535","DS1610","氨茶碱","0.9983","DG13388","氨茶碱","0.2829","DC776","黄嘌呤类","0.9371","DC348","治疗阻塞性气道疾病的其他全身用药物","0.5879","DC96","用于阻塞性气道疾病的药物","0.2535","DC19","呼吸系统","0.0652","DC2","西药","0.7954","","",""
"67","DR1669","氨酚曲马多片","1","DS185","氨酚曲马多","1","DG11833","氨酚曲马多","0.0806","DC827","其他阿片类药","0.7171","DC371","阿片类","0.0071","DC103","镇痛药","0.5083","DC20","神经系统药物","0.6013","DC2","西药","0.7954","","",""
"68","DR2160","硫酸氨基葡萄糖片","0.1849","DS23497","硫酸氨基葡萄糖","0.3809","DG13428","氨基葡萄糖","0.8962","DC971","其他非甾体类抗炎和抗风湿药","0.137","DC454","非甾体类抗炎和抗风湿药","0.9997","DC128","抗炎和抗风湿药","0.6822","DC25","肌肉-骨骼系统药物","0.0559","DC2","西药","0.7954","","",""
"69","DR2425","盐酸昂丹司琼注射液","0.2083","DS23539","盐酸昂丹司琼","0.8571","DG5909","昂丹司琼","0.1379","DC503","5-羟色胺（5HT3）拮抗剂","1","DC143","止吐药和止恶心药","0.0028","DC26","消化道和代谢方面的药物","0.3097","DC2","西药","0.7954","","","","","",""
"70","DR2426","奥美拉唑肠溶片","0.2093","DS82","奥美拉唑","0.4878","DG13461","奥美拉唑","0.2623","DC1020","质子泵抑制剂","0.9927","DC485","治疗消化性溃疡病和胃食道反流病的药物","0.9463","DC138","治疗胃酸相关类疾病的药物","0.3623","DC26","消化道和代谢方面的药物","0.3097","DC2","西药","0.7954","","",""
"71","DR3020","醋酸曲安奈德乳膏","0.9537","DS2265","醋酸曲安奈德","0.9737","DG12817","曲安奈德","0.4912","DC936","中效皮质激素类（II组）","0.4349","DC429","皮质激素类的单方药","0.9319","DC120","皮科用皮质激素类","0.1463","DC23","皮肤病用药","0.0792","DC2","西药","0.7954","","",""
"72","DR3020","醋酸曲安奈德乳膏","0.9537","DS2265","醋酸曲安奈德","0.9737","DG12817","曲安奈德","0.3825","DC786","鼻用皮质激素类","0.4161","DC350","减轻充血药及其他鼻局部用药","1","DC97","鼻部制剂","0.2223","DC19","呼吸系统","0.0652","DC2","西药","0.7954","","",""
"73","DR3020","醋酸曲安奈德乳膏","0.9537","DS2265","醋酸曲安奈德","0.9737","DG12817","曲安奈德","0.1598","DC603","糖皮质激素类","1","DC262","全身用皮质激素的单方制剂","1","DC73","全身用皮质激素类","0.7202","DC15","系统性激素制剂，不含性激素和胰岛素","0.02","DC2","西药","0.7954","","",""
"74","DR877","磷酸奥司他韦胶囊","1","DS1966","磷酸奥司他韦","1","DG11578","奥司他韦","1","DC706","神经氨酶抑制剂","0.0061","DC315","直接作用的抗病毒药","1","DC89","全身用抗病毒药","0.0212","DC18","全身用抗感染药","0.1011","DC2","西药","0.7954","","",""
"75","DR621","白脉软膏","1","DS531","白脉软膏","1","DG1102","白脉软膏","0.0324","DC9","民族药","0.0221","DC1","中成药","","","","","","","","","","","","",""
"76","DR1135","注射用胞磷胆碱钠","0.0192","DS1248","胞磷胆碱钠","0.899","DG13068","胞磷胆碱","0.2853","DC795","其他精神兴奋药及促智药","1","DC360","用于儿童注意缺陷障碍伴多动症和促智的精神兴奋药","0.9043","DC99","精神兴奋药","0.4638","DC20","神经系统药物","0.6013","DC2","西药","0.7954","","",""
"77","DR1747","盐酸表柔比星注射液","1","DS2266","盐酸表柔比星","1","DG13187","表柔比星","1","DC583","蒽环类及相关药物","1","DC251","细胞毒类抗生素及相关药物","0.0014","DC68","抗肿瘤药","0.3897","DC14","抗肿瘤药及免疫调节剂","0.0079","DC2","西药","0.7954","","",""
"78","DR2200","注射用苯巴比妥钠","0.995","DS1880","苯巴比妥钠","0.8089","DG11416","苯巴比妥","1","DC352","巴比妥类及衍生物","0.0443","DC98","抗癫痫药","0.0401","DC20","神经系统药物","0.6013","DC2","西药","0.7954","","","","","",""
"79","DR2142","苯巴比妥片","1","DS1968","苯巴比妥","0.1992","DG11416","苯巴比妥","1","DC352","巴比妥类及衍生物","0.0443","DC98","抗癫痫药","0.0401","DC20","神经系统药物","0.6013","DC2","西药","0.7954","","","","","",""
"80","DR3851","盐酸罗格列酮胶囊","0.5263","DS23568","盐酸罗格列酮","0.987","DG11092","罗格列酮","0.1228","DC1025","噻唑啉二酮类","0.0303","DC505","降血糖药物，不含胰岛素","0.8388","DC144","糖尿病用药","0.345","DC26","消化道和代谢方面的药物","0.3097","DC2","西药","0.7954","","",""
"81","DR3878","盐酸卡替洛尔滴眼液","1","DS3139","盐酸卡替洛尔","1","DG12655","卡替洛尔","0.122","DC862","测试阻断剂1)","0.7842","DC381","抗青光眼制剂和缩瞳剂","0.0039","DC106","眼科用药","1","DC21","感觉器官药物","0.402","DC2","西药","0.7954","","",""
"82","DR3993","厄贝沙坦氢氯噻嗪分散片","0.0586","DS1999","厄贝沙坦氢氯噻嗪","1","DG382","厄贝沙坦氢氯噻嗪","0.5114","DC1088","血管紧张素Ⅱ拮抗剂与利尿剂的复方制剂","0.901","DC535","血管紧张素Ⅱ拮抗剂的复方制剂","0.1632","DC1131","血管紧张素Ⅱ拮抗剂","0.9105","DC151","作用于肾素-血管紧张素系统的药物","0.2744","DC27","心血管系统","0.6531","DC2","西药","0.7954"
"83","DR648","阿奇霉素颗粒","0.0073","DS511","阿奇霉素","0.8763","DG12355","阿奇霉素","0.1862","DC721","大环内酯类","0.8487","DC319","大环内酯类，林可胺类和链阳菌素类","0.1337","DC90","全身用抗菌药","0.9519","DC18","全身用抗感染药","0.1011","DC2","西药","0.7954","","",""
"84","DR36","阿司匹林肠溶片","0.8404","DS1969","阿司匹林","1","DG12959","阿司匹林","0.9996","DC831","水杨酸及其衍生物","0.9567","DC372","其他解热镇痛药","0.9951","DC103","镇痛药","0.5083","DC20","神经系统药物","0.6013","DC2","西药","0.7954","","",""
"85","DR36","阿司匹林肠溶片","0.8404","DS1969","阿司匹林","1","DG12959","阿司匹林","0.7866","DC449","血小板凝聚抑制剂，肝素除外","0.9574","DC126","抗血栓形成药","0.6004","DC24","血液和造血器官药","0.6434","DC2","西药","0.7954","","","","","",""
"86","DR810","阿司匹林肠溶胶囊","0.1087","DS1969","阿司匹林","1","DG12959","阿司匹林","0.9996","DC831","水杨酸及其衍生物","0.9567","DC372","其他解热镇痛药","0.9951","DC103","镇痛药","0.5083","DC20","神经系统药物","0.6013","DC2","西药","0.7954","","",""
"87","DR810","阿司匹林肠溶胶囊","0.1087","DS1969","阿司匹林","1","DG12959","阿司匹林","0.7866","DC449","血小板凝聚抑制剂，肝素除外","0.9574","DC126","抗血栓形成药","0.6004","DC24","血液和造血器官药","0.6434","DC2","西药","0.7954","","","","","",""
"88","DR788","注射用重组人干扰素α2b","1","DS3713","重组人干扰素α2b","1","DG13592","重组人干扰素α2b","0.0022","DC856","抗病毒药","0.0573","DC380","眼科用抗感染药","0.0859","DC106","眼科用药","1","DC21","感觉器官药物","0.402","DC2","西药","0.7954","","",""
"89","DR788","注射用重组人干扰素α2b","1","DS3713","重组人干扰素α2b","1","DG13592","重组人干扰素α2b","1","DC650","其他妇科用的药","0.0526","DC296","其他妇科用药","0.6333","DC82","其他妇科药","0.0015","DC17","泌尿生殖系统药和性激素","0.0872","DC2","西药","0.7954","","",""
