,product_name,trad_name,generic_name,generic_id,real,real_name
22,益心巴迪然吉布亚颗粒,益心巴迪然吉布亚颗粒,益心巴迪然吉布亚颗粒,DS1812,益心巴迪然吉布亚颗粒,益心巴迪然吉布亚颗粒
23,比卡鲁胺胶囊,岩列舒,比卡鲁胺,DS1813,比卡鲁胺胶囊,比卡鲁胺胶囊
24,双黄连口服液,双黄连口服液,双黄连口服液,DS2612,双黄连口服液,双黄连口服液
25,十一味参芪胶囊,十一味参芪胶囊,十一味参芪胶囊,DS129,十一味参芪胶囊,十一味参芪胶囊
26,一清滴丸,一清滴丸,一清滴丸,DS477,一清滴丸,一清滴丸
28,乙酰螺旋霉素片,乙酰螺旋霉素片,乙酰螺旋霉素,DS1190,乙酰螺旋霉素片,乙酰螺旋霉素片
31,注射用多索茶碱,益索,多索茶碱,DS1520,注射用多索茶碱,注射用多索茶碱
32,多索茶碱片,,多索茶碱,DS1520,多索茶碱片,多索茶碱片
34,二甲硅油片,,二甲硅油,DS1192,二甲硅油片,二甲硅油片
36,注射用二乙酰氨乙酸乙二胺,,二乙酰氨乙酸乙二胺,DS1913,注射用二乙酰氨乙酸乙二胺,注射用二乙酰氨乙酸乙二胺
37,法莫替丁胶囊,,法莫替丁,DS1194,法莫替丁胶囊,法莫替丁胶囊
38,注射用法莫替丁,中诺舒奇,法莫替丁,DS1194,注射用法莫替丁,注射用法莫替丁
39,复方泛影葡胺注射液,,复方泛影葡胺,DS1814,复方泛影葡胺注射液,复方泛影葡胺注射液
40,注射用放线菌素D,,放线菌素D,DS2613,注射用放线菌素D,注射用放线菌素D
41,氟罗沙星注射液,,氟罗沙星,DS2214,氟罗沙星注射液,氟罗沙星注射液
42,氟尿嘧啶注射液,,氟尿嘧啶,DS478,氟尿嘧啶注射液,氟尿嘧啶注射液
43,氟哌啶醇片,,氟哌啶醇,DS132,氟哌啶醇片,氟哌啶醇片
45,注射用辅酶A,,辅酶A,DS1549,注射用辅酶A,注射用辅酶A
47,呋喃妥因肠溶片,,呋喃妥因,DS2615,呋喃妥因肠溶片,呋喃妥因肠溶片
48,呋喃唑酮片,,呋喃唑酮,DS2616,呋喃唑酮片,呋喃唑酮片
49,阿加曲班注射液,达贝,阿加曲班,DS2639,阿加曲班注射液,阿加曲班注射液
50,阿胶补血口服液,阿胶补血口服液,阿胶补血口服液,DS1222,阿胶补血口服液,阿胶补血口服液
51,阿立哌唑片,安律凡,阿立哌唑,DS2640,阿立哌唑片,阿立哌唑片
52,阿仑膦酸钠片,,阿仑膦酸钠,DS2237,阿仑膦酸钠片,阿仑膦酸钠片
56,阿莫西林舒巴坦匹酯片,特福猛,阿莫西林舒巴坦匹酯,DS3716,阿莫西林舒巴坦匹酯片,阿莫西林舒巴坦匹酯片
57,阿那曲唑片,阿那曲唑片,阿那曲唑,DS1224,阿那曲唑片,阿那曲唑片
59,阿奇霉素软胶囊,凯迅,阿奇霉素,DS511,阿奇霉素软胶囊,阿奇霉素软胶囊
60,阿奇霉素干混悬剂,,阿奇霉素,DS511,阿奇霉素干混悬剂,阿奇霉素干混悬剂
62,阿奇霉素肠溶片,维宏,阿奇霉素,DS511,阿奇霉素肠溶片,阿奇霉素肠溶片
63,复方阿嗪米特肠溶片,,复方阿嗪米特,DS2239,复方阿嗪米特肠溶片,复方阿嗪米特肠溶片
65,阿魏酸哌嗪片,亨达盛康,阿魏酸哌嗪,DS2642,阿魏酸哌嗪片,阿魏酸哌嗪片
66,阿昔洛韦胶囊,天诚惜尔,阿昔洛韦,DS465,阿昔洛韦胶囊,阿昔洛韦胶囊
69,艾塞那肽注射液,百泌达,艾塞那肽,DS513,艾塞那肽注射液,艾塞那肽注射液
70,养胃颗粒,养胃颗粒,养胃颗粒,DS1851,养胃颗粒,养胃颗粒
71,加味左金丸,加味左金丸,加味左金丸,DS158,加味左金丸,加味左金丸
72,逍遥丸(浓缩丸),逍遥丸(浓缩丸),逍遥丸,DS2885,逍遥丸(浓缩丸),逍遥丸(浓缩丸)
74,散寒感冒片,散寒感冒片,散寒感冒片,DS3014,散寒感冒片,散寒感冒片
75,健脾糕片,健脾糕片,健脾糕片,DS3202,健脾糕片,健脾糕片
76,接骨七厘散,接骨七厘散,接骨七厘散,DS3210,接骨七厘散,接骨七厘散
77,金刚藤颗粒,金刚藤颗粒,金刚藤颗粒,DS3217,金刚藤颗粒,金刚藤颗粒
78,藿香清胃片,藿香清胃片,藿香清胃片,DS3229,藿香清胃片,藿香清胃片
79,注射用肌苷,迪力,肌苷,DS507,注射用肌苷,注射用肌苷
80,黄柏片,黄柏片,黄柏片,DS3249,黄柏片,黄柏片
81,乳癖散结胶囊,,乳癖散结胶囊,DS3697,乳癖散结胶囊,乳癖散结胶囊
82,复方甘草铝镁片,,复方甘草铝镁,DS3726,复方甘草铝镁片,复方甘草铝镁片
83,阿里红咳喘口服液,,阿里红咳喘口服液,DS19396,阿里红咳喘口服液,阿里红咳喘口服液
84,八味沉香散,,八味沉香散,DS16721,八味沉香散,八味沉香散
85,安神补脑胶囊,,安神补脑胶囊,DS159,安神补脑胶囊,安神补脑胶囊
86,安神补脑片,,安神补脑片,DS1940,安神补脑片,安神补脑片
87,安神补脑液,安神补脑液,安神补脑液,DS1852,安神补脑液,安神补脑液
88,安神补心胶囊,,安神补心胶囊,DS1941,安神补心胶囊,安神补心胶囊
89,安神补心片,,安神补心片,DS160,安神补心片,安神补心片
90,安神补心丸,,安神补心丸,DS161,安神补心丸,安神补心丸
91,斑秃丸,,斑秃丸,DS2645,斑秃丸,斑秃丸
92,氨碘肽滴眼液,,氨碘肽,DS1228,氨碘肽滴眼液,氨碘肽滴眼液
93,氨酚美伪麻片与苯酚伪麻片,达诺,氨酚美伪麻苯酚伪麻,DS3658,氨酚美伪麻片与苯酚伪麻片,氨酚美伪麻片与苯酚伪麻片
94,氨酚羟考酮片,泰勒宁,氨酚羟考酮,DS1778,氨酚羟考酮片,氨酚羟考酮片
95,氨酚伪麻美芬片Ⅱ/氨麻苯美片,白加黑,氨酚伪麻美芬Ⅱ/氨麻苯美,DS3292,氨酚伪麻美芬片Ⅱ/氨麻苯美片,氨酚伪麻美芬片Ⅱ/氨麻苯美片
97,烟酸注射液,烟酸注射液,烟酸,DS245,烟酸注射液,烟酸注射液
99,参苏宣肺丸,,参苏宣肺丸,DS3427,参苏宣肺丸,参苏宣肺丸
100,牛黄清热散,,牛黄清热散,DS3457,牛黄清热散,牛黄清热散
101,炎消迪娜儿糖浆,炎消迪娜儿糖浆,炎消迪娜儿糖浆,DS3458,炎消迪娜儿糖浆,炎消迪娜儿糖浆
104,罗格列酮片,文迪雅,罗格列酮,DS193,罗格列酮片,罗格列酮片
105,盆炎净颗粒,盆炎净颗粒,盆炎净颗粒,DS3491,盆炎净颗粒,盆炎净颗粒
106,蒙脱石散,,蒙脱石,DS537,蒙脱石散,蒙脱石散
107,注射用糜蛋白酶,注射用糜蛋白酶,糜蛋白酶,DS1614,注射用糜蛋白酶,注射用糜蛋白酶
110,复方米非司酮片,,复方米非司酮,DS538,复方米非司酮片,复方米非司酮片
111,复方曲安奈德乳膏,,复方曲安奈德,DS1976,复方曲安奈德乳膏,复方曲安奈德乳膏
114,头孢克肟片,,头孢克肟,DS539,头孢克肟片,头孢克肟片
116,双氯芬酸钠肠溶片,,双氯芬酸钠,DS1616,双氯芬酸钠肠溶片,双氯芬酸钠肠溶片
117,替硝唑葡萄糖注射液,,替硝唑葡萄糖,DS2275,替硝唑葡萄糖注射液,替硝唑葡萄糖注射液
119,乳酸菌素片,,乳酸菌素,DS195,乳酸菌素片,乳酸菌素片
120,碳酸氢钠注射液,,碳酸氢钠,DS1255,碳酸氢钠注射液,碳酸氢钠注射液
121,头孢氨苄胶囊,,头孢氨苄,DS2276,头孢氨苄胶囊,头孢氨苄胶囊
122,头孢氨苄颗粒,,头孢氨苄,DS2276,头孢氨苄颗粒,头孢氨苄颗粒
123,土霉素片,,土霉素,DS2277,土霉素片,土霉素片
124,托吡卡胺滴眼液,,托吡卡胺,DS197,托吡卡胺滴眼液,托吡卡胺滴眼液
125,替米沙坦片,,替米沙坦,DS1978,替米沙坦片,替米沙坦片
128,注射用头孢他啶,,头孢他啶,DS540,注射用头孢他啶,注射用头孢他啶
129,头孢克洛颗粒,,头孢克洛,DS199,头孢克洛颗粒,头孢克洛颗粒
132,牡蛎碳酸钙咀嚼片,,牡蛎碳酸钙,DS1619,牡蛎碳酸钙咀嚼片,牡蛎碳酸钙咀嚼片
133,头孢拉定颗粒,,头孢拉定,DS1617,头孢拉定颗粒,头孢拉定颗粒
134,缩宫素注射液,,缩宫素,DS728,缩宫素注射液,缩宫素注射液
135,头孢克肟胶囊,,头孢克肟,DS539,头孢克肟胶囊,头孢克肟胶囊
137,注射用头孢硫脒,,头孢硫脒,DS202,注射用头孢硫脒,注射用头孢硫脒
138,注射用白眉蛇毒血凝酶,邦亭,白眉蛇毒血凝酶,DS1980,注射用白眉蛇毒血凝酶,注射用白眉蛇毒血凝酶
139,清瘟解毒丸,,清瘟解毒丸,DS3481,清瘟解毒丸,清瘟解毒丸
140,气滞胃痛颗粒,气滞胃痛颗粒,气滞胃痛颗粒,DS3537,气滞胃痛颗粒,气滞胃痛颗粒
141,亚叶酸钙胶囊,欧力,亚叶酸钙,DS1098,亚叶酸钙胶囊,亚叶酸钙胶囊
142,复方鳖甲软肝片,福瑞中蒙,复方鳖甲软肝片,DS3552,复方鳖甲软肝片,复方鳖甲软肝片
143,亚硫酸氢钠甲萘醌片,亚硫酸氢钠甲萘醌片,亚硫酸氢钠甲萘醌,DS3557,亚硫酸氢钠甲萘醌片,亚硫酸氢钠甲萘醌片
144,血栓通胶囊,血栓通胶囊,血栓通胶囊,DS3575,血栓通胶囊,血栓通胶囊
145,复方地龙片,,复方地龙片,DS3612,复方地龙片,复方地龙片
146,仁青芒觉,,仁青芒觉,DS3638,仁青芒觉,仁青芒觉
147,乳块消胶囊,,乳块消胶囊,DS3674,乳块消胶囊,乳块消胶囊
148,复方虫草补肾口服液,复方虫草补肾口服液,复方虫草补肾口服液,DS230,复方虫草补肾口服液,复方虫草补肾口服液
149,异维A酸胶丸,异维A酸胶丸,异维A酸,DS1633,异维A酸胶丸,异维A酸胶丸
150,黄芪三七口服液,黄芪三七口服液,黄芪三七口服液,DS1634,黄芪三七口服液,黄芪三七口服液
151,来氟米特胶囊,,来氟米特,DS2617,来氟米特胶囊,来氟米特胶囊
152,益气维血片,益气维血片,益气维血片,DS2684,益气维血片,益气维血片
153,来昔决南钐[153Sm]注射液,,来昔决南钐[153Sm],DS21743,来昔决南钐[153Sm]注射液,来昔决南钐[153Sm]注射液
154,赖氨匹林肠溶胶囊,麦乐新,赖氨匹林,DS2088,赖氨匹林肠溶胶囊,赖氨匹林肠溶胶囊
155,赖氨葡锌片,,赖氨葡锌,DS21744,赖氨葡锌片,赖氨葡锌片
159,赖氨酸维B12颗粒,,赖氨酸维B12,DS21756,赖氨酸维B12颗粒,赖氨酸维B12颗粒
160,劳拉西泮片,罗拉,劳拉西泮,DS21758,劳拉西泮片,劳拉西泮片
161,雷公藤内酯软膏,,雷公藤内酯,DS21760,雷公藤内酯软膏,雷公藤内酯软膏
162,雷米普利片,瑞素坦,雷米普利,DS21763,雷米普利片,雷米普利片
163,利巴韦林胶囊,,利巴韦林,DS1894,利巴韦林胶囊,利巴韦林胶囊
164,利巴韦林喷剂,,利巴韦林,DS1894,利巴韦林喷剂,利巴韦林喷剂
165,利多卡因气雾剂,利多卡因气雾剂,利多卡因,DS2634,利多卡因气雾剂,利多卡因气雾剂
168,利福平胶丸,,利福平,DS1204,利福平胶丸,利福平胶丸
169,利福平乳膏,,利福平,DS1204,利福平乳膏,利福平乳膏
170,艾迪注射液,艾迪注射液,艾迪注射液,DS1635,艾迪注射液,艾迪注射液
171,安宫牛黄胶囊,安宫牛黄胶囊,安宫牛黄胶囊,DS571,安宫牛黄胶囊,安宫牛黄胶囊
172,安胎丸,安胎丸,安胎丸,DS1294,安胎丸,安胎丸
173,灵芝二维甲硫氨酸胶囊,灵芝二维甲硫氨酸胶囊,灵芝二维甲硫氨酸,DS3473,灵芝二维甲硫氨酸胶囊,灵芝二维甲硫氨酸胶囊
174,氨酚伪麻颗粒,氨酚伪麻颗粒,氨酚伪麻,DS752,氨酚伪麻颗粒,氨酚伪麻颗粒
175,贞芪扶正胶囊,贞芪扶正胶囊,贞芪扶正胶囊,DS231,贞芪扶正胶囊,贞芪扶正胶囊
176,氨酚伪麻美芬片,日夜百服咛,氨酚伪麻美芬,DS1636,氨酚伪麻美芬片,氨酚伪麻美芬片
177,马应龙八宝眼粉,马应龙八宝眼粉,马应龙八宝眼粉,DS2316,马应龙八宝眼粉,马应龙八宝眼粉
178,藻酸双酯钠注射液,藻酸双酯钠注射液,藻酸双酯钠,DS753,藻酸双酯钠注射液,藻酸双酯钠注射液
179,右旋糖酐40葡萄糖注射液,右旋糖酐40葡萄糖注射液,右旋糖酐40葡萄糖,DS754,右旋糖酐40葡萄糖注射液,右旋糖酐40葡萄糖注射液
180,阿司匹林咀嚼片,安尼妥,阿司匹林,DS1969,阿司匹林咀嚼片,阿司匹林咀嚼片
183,注射用缩宫素,,缩宫素,DS728,注射用缩宫素,注射用缩宫素
184,氨酪酸氯化钠注射液,慧友,氨酪酸氯化钠,DS1638,氨酪酸氯化钠注射液,氨酪酸氯化钠注射液
185,苦参碱注射液,斯巴特康,苦参碱,DS2688,苦参碱注射液,苦参碱注射液
187,中风回春片,中风回春片,中风回春片,DS755,中风回春片,中风回春片
188,安胃止痛片,安胃止痛片,安胃止痛片,DS2022,安胃止痛片,安胃止痛片
189,百梅止咳颗粒,百梅止咳颗粒,百梅止咳颗粒,DS575,百梅止咳颗粒,百梅止咳颗粒
190,布美他尼注射液,布美他尼注射液,布美他尼,DS2023,布美他尼注射液,布美他尼注射液
191,三七冠心宁片,三七冠心宁片,三七冠心宁片,DS233,三七冠心宁片,三七冠心宁片
192,正柴胡饮胶囊,正柴胡饮胶囊,正柴胡饮胶囊,DS2319,正柴胡饮胶囊,正柴胡饮胶囊
193,复方碳酸钙泡腾颗粒,盖笛欣,复方碳酸钙,DS2320,复方碳酸钙泡腾颗粒,复方碳酸钙泡腾颗粒
194,鱼石脂软膏,鱼石脂软膏,鱼石脂,DS1640,鱼石脂软膏,鱼石脂软膏
195,氯雷他定颗粒,华畅,氯雷他定,DS1544,氯雷他定颗粒,氯雷他定颗粒
197,银杏洋参胶囊,银杏洋参胶囊,银杏洋参胶囊,DS2321,银杏洋参胶囊,银杏洋参胶囊
198,鼻炎灵丸,路德,鼻炎灵丸,DS2024,鼻炎灵丸,鼻炎灵丸
199,华蟾素片,华蟾素片,华蟾素片,DS1644,华蟾素片,华蟾素片
200,银丹心泰滴丸,银丹心泰滴丸,银丹心泰滴丸,DS2322,银丹心泰滴丸,银丹心泰滴丸
201,益心舒胶囊,益心舒胶囊,益心舒胶囊,DS234,益心舒胶囊,益心舒胶囊
204,利福昔明干混悬剂,,利福昔明,DS21781,利福昔明干混悬剂,利福昔明干混悬剂
205,利福昔明片,萨芬,利福昔明,DS21781,利福昔明片,利福昔明片
206,利福昔明软胶囊,,利福昔明,DS21781,利福昔明软胶囊,利福昔明软胶囊
207,利拉萘酯凝胶,,利拉萘酯,DS2442,利拉萘酯凝胶,利拉萘酯凝胶
208,利鲁唑胶囊,,利鲁唑,DS21783,利鲁唑胶囊,利鲁唑胶囊
209,利鲁唑片,,利鲁唑,DS21783,利鲁唑片,利鲁唑片
210,联苯苄唑涂膜,列合素,联苯苄唑,DS2325,联苯苄唑涂膜,联苯苄唑涂膜
211,联苯乙酸搽剂,,联苯乙酸,DS21786,联苯乙酸搽剂,联苯乙酸搽剂
212,联苯乙酸凝胶,,联苯乙酸,DS21786,联苯乙酸凝胶,联苯乙酸凝胶
213,维E三油胶丸,,维E三油,DS20828,维E三油胶丸,维E三油胶丸
214,维U颠茄铝分散片,,维U颠茄铝,DS20827,维U颠茄铝分散片,维U颠茄铝分散片
216,胸腺蛋白口服溶液,欣洛维,胸腺蛋白,DS20393,胸腺蛋白口服溶液,胸腺蛋白口服溶液
217,胸腺肽肠溶胶囊,,胸腺肽,DS2252,胸腺肽肠溶胶囊,胸腺肽肠溶胶囊
218,胸腺肽氯化钠注射液,,胸腺肽氯化钠,DS20388,胸腺肽氯化钠注射液,胸腺肽氯化钠注射液
219,胸腺肽注射液,,胸腺肽,DS2252,胸腺肽注射液,胸腺肽注射液
220,银黄含片,银黄含片,银黄含片,DS2690,银黄含片,银黄含片
221,全天麻咀嚼片,,全天麻咀嚼片,DS1295,全天麻咀嚼片,全天麻咀嚼片
222,更昔洛韦片,更昔洛韦片,更昔洛韦,DS1828,更昔洛韦片,更昔洛韦片
223,宫瘤宁片,宫瘤宁片,宫瘤宁片,DS2691,宫瘤宁片,宫瘤宁片
224,复方氨敏狗仔花片,复方氨敏狗仔花片,复方氨敏狗仔花,DS3474,复方氨敏狗仔花片,复方氨敏狗仔花片
226,注射用核黄素磷酸钠,安伽宁,核黄素磷酸钠,DS1647,注射用核黄素磷酸钠,注射用核黄素磷酸钠
227,德都红花七味丸,德都红花七味丸,德都红花七味丸,DS2026,德都红花七味丸,德都红花七味丸
228,胞磷胆碱钠氯化钠注射液,益落清,胞磷胆碱钠氯化钠,DS756,胞磷胆碱钠氯化钠注射液,胞磷胆碱钠氯化钠注射液
229,促肝细胞生长素肠溶胶囊,福锦,促肝细胞生长素,DS2027,促肝细胞生长素肠溶胶囊,促肝细胞生长素肠溶胶囊
230,枣仁安神液,枣仁安神液,枣仁安神液,DS2694,枣仁安神液,枣仁安神液
231,一清软胶囊,,一清软胶囊,DS757,一清软胶囊,一清软胶囊
232,桂枝合剂,桂枝合剂,桂枝合剂,DS758,桂枝合剂,桂枝合剂
233,保妇康凝胶,保妇康凝胶,保妇康凝胶,DS1648,保妇康凝胶,保妇康凝胶
234,右旋糖酐70氯化钠注射液,右旋糖酐70氯化钠注射液,右旋糖酐70氯化钠,DS2695,右旋糖酐70氯化钠注射液,右旋糖酐70氯化钠注射液
235,吲哚美辛滴眼液,露奇,吲哚美辛,DS1875,吲哚美辛滴眼液,吲哚美辛滴眼液
236,银黄注射液,银黄注射液,银黄注射液,DS1649,银黄注射液,银黄注射液
237,益气维血胶囊,益气维血胶囊,益气维血胶囊,DS2323,益气维血胶囊,益气维血胶囊
238,复方仙茅补肾口服液,复方仙茅补肾口服液,复方仙茅补肾口服液,DS1296,复方仙茅补肾口服液,复方仙茅补肾口服液
239,龟鹿补肾片,龟鹿补肾片,龟鹿补肾片,DS2028,龟鹿补肾片,龟鹿补肾片
240,阿糖胞苷注射液,爱力生,阿糖胞苷,DS156,阿糖胞苷注射液,阿糖胞苷注射液
241,复方谷氨酰胺肠溶胶囊,谷参,复方谷氨酰胺,DS1650,复方谷氨酰胺肠溶胶囊,复方谷氨酰胺肠溶胶囊
242,排石颗粒,排石颗粒,排石颗粒,DS760,排石颗粒,排石颗粒
243,牛黄蛇胆川贝胶囊,牛黄蛇胆川贝胶囊,牛黄蛇胆川贝胶囊,DS1297,牛黄蛇胆川贝胶囊,牛黄蛇胆川贝胶囊
244,多磺酸粘多糖乳膏,喜辽妥,多磺酸粘多糖,DS1651,多磺酸粘多糖乳膏,多磺酸粘多糖乳膏
245,返魂草颗粒,返魂草颗粒,返魂草颗粒,DS2324,返魂草颗粒,返魂草颗粒
246,癃闭舒胶囊,癃闭舒胶囊,癃闭舒胶囊,DS2697,癃闭舒胶囊,癃闭舒胶囊
247,膦甲酸钠氯化钠注射液,可耐,膦甲酸钠氯化钠,DS236,膦甲酸钠氯化钠注射液,膦甲酸钠氯化钠注射液
248,壮骨关节丸,壮骨关节丸,壮骨关节丸,DS762,壮骨关节丸,壮骨关节丸
249,联苯苄唑阴道片,联苯苄唑阴道片,联苯苄唑,DS2325,联苯苄唑阴道片,联苯苄唑阴道片
250,羚羊感冒片,羚羊感冒片,羚羊感冒片,DS237,羚羊感冒片,羚羊感冒片
252,利巴韦林葡萄糖注射液,康乃克,利巴韦林葡萄糖,DS581,利巴韦林葡萄糖注射液,利巴韦林葡萄糖注射液
253,六味地黄胶囊,六味地黄胶囊,六味地黄胶囊,DS583,六味地黄胶囊,六味地黄胶囊
254,六味地黄滴丸,六味地黄滴丸,六味地黄滴丸,DS1654,六味地黄滴丸,六味地黄滴丸
255,注射用雷替曲塞,注射用雷替曲塞,雷替曲塞,DS238,注射用雷替曲塞,注射用雷替曲塞
257,健脾五味丸,健脾五味丸,健脾五味丸,DS1298,健脾五味丸,健脾五味丸
258,依托泊苷软胶囊,泊瑞,依托泊苷,DS2328,依托泊苷软胶囊,依托泊苷软胶囊
259,依诺沙星片,依诺沙星片,依诺沙星,DS1512,依诺沙星片,依诺沙星片
260,伊曲康唑分散片,伊曲康唑分散片,伊曲康唑,DS1859,伊曲康唑分散片,伊曲康唑分散片
261,养胃宁胶囊,养胃宁胶囊,养胃宁胶囊,DS2699,养胃宁胶囊,养胃宁胶囊
264,舒筋活血片,舒筋活血片,舒筋活血片,DS2031,舒筋活血片,舒筋活血片
265,布地奈德鼻喷雾剂,雷诺考特,布地奈德,DS725,布地奈德鼻喷雾剂,布地奈德鼻喷雾剂
266,加味蛇胆陈皮片,加味蛇胆陈皮片,加味蛇胆陈皮片,DS584,加味蛇胆陈皮片,加味蛇胆陈皮片
267,逍遥颗粒,逍遥颗粒,逍遥颗粒,DS2700,逍遥颗粒,逍遥颗粒
268,参附注射液,参附注射液,参附注射液,DS764,参附注射液,参附注射液
271,桂枝茯苓丸,桂枝茯苓丸,桂枝茯苓丸,DS1656,桂枝茯苓丸,桂枝茯苓丸
272,右旋糖酐羟丙甲纤维素滴眼液,倍然,右旋糖酐羟丙甲纤维素,DS241,右旋糖酐羟丙甲纤维素滴眼液,右旋糖酐羟丙甲纤维素滴眼液
273,海龙蛤蚧口服液,海龙蛤蚧口服液,海龙蛤蚧口服液,DS2329,海龙蛤蚧口服液,海龙蛤蚧口服液
275,地氯雷他定片,信散汀,地氯雷他定,DS1012,地氯雷他定片,地氯雷他定片
276,银杏叶胶囊,银杏叶胶囊,银杏叶胶囊,DS765,银杏叶胶囊,银杏叶胶囊
278,鼻炎糖浆,龙生,鼻炎糖浆,DS1300,鼻炎糖浆,鼻炎糖浆
280,癫痫宁片,,癫痫宁片,DS766,癫痫宁片,癫痫宁片
281,补肾丸,补肾丸,补肾丸,DS2330,补肾丸,补肾丸
283,黄芪生脉饮,黄芪生脉饮,黄芪生脉饮,DS1657,黄芪生脉饮,黄芪生脉饮
284,尼莫地平胶囊,迈特令,尼莫地平,DS1565,尼莫地平胶囊,尼莫地平胶囊
285,养阴降糖片,养阴降糖片,养阴降糖片,DS2331,养阴降糖片,养阴降糖片
286,养阴降压胶囊,养阴降压胶囊,养阴降压胶囊,DS1301,养阴降压胶囊,养阴降压胶囊
288,茴拉西坦颗粒,益灵舒,茴拉西坦,DS2709,茴拉西坦颗粒,茴拉西坦颗粒
292,安乃近滴鼻液,安乃近滴鼻液,安乃近,DS2263,安乃近滴鼻液,安乃近滴鼻液
293,注射用烟酸,舒成,烟酸,DS245,注射用烟酸,注射用烟酸
294,骨刺消痛片,骨刺消痛片,骨刺消痛片,DS3467,骨刺消痛片,骨刺消痛片
295,阿法骨化醇片,立庆,阿法骨化醇,DS1603,阿法骨化醇片,阿法骨化醇片
298,注射用厄他培南,怡万之,厄他培南,DS1660,注射用厄他培南,注射用厄他培南
299,清金止嗽化痰丸,清金止嗽化痰丸,清金止嗽化痰丸,DS2036,清金止嗽化痰丸,清金止嗽化痰丸
300,七味胃痛胶囊,益欣,七味胃痛胶囊,DS587,七味胃痛胶囊,七味胃痛胶囊
301,润燥止痒胶囊,仙灵,润燥止痒胶囊,DS1303,润燥止痒胶囊,润燥止痒胶囊
302,正胃胶囊,正胃胶囊,正胃胶囊,DS2332,正胃胶囊,正胃胶囊
303,白灵胶囊,白灵胶囊,白灵胶囊,DS1662,白灵胶囊,白灵胶囊
304,冠心静片,冠心静片,冠心静片,DS2333,冠心静片,冠心静片
305,孕妇清火丸,,孕妇清火丸,DS588,孕妇清火丸,孕妇清火丸
306,归脾液,归脾液,归脾液,DS1663,归脾液,归脾液
308,缩泉丸,,缩泉丸,DS2703,缩泉丸,缩泉丸
313,木瓜片,木瓜片,木瓜片,DS3164,木瓜片,木瓜片
314,木香槟榔丸,木香槟榔丸,木香槟榔丸,DS3168,木香槟榔丸,木香槟榔丸
315,金梅清暑颗粒,金梅清暑颗粒,金梅清暑颗粒,DS3184,金梅清暑颗粒,金梅清暑颗粒
316,金钱草颗粒,金钱草颗粒,金钱草颗粒,DS3187,金钱草颗粒,金钱草颗粒
317,金钱草片,金钱草片,金钱草片,DS3188,金钱草片,金钱草片
318,金酸萍糖浆,金酸萍糖浆,金酸萍糖浆,DS3192,金酸萍糖浆,金酸萍糖浆
319,金佛止痛丸,金佛止痛丸,金佛止痛丸,DS3212,金佛止痛丸,金佛止痛丸
320,金刚片,金刚片,金刚片,DS3216,金刚片,金刚片
321,还少丸,还少丸,还少丸,DS3244,还少丸,还少丸
322,明目地黄胶囊,明目地黄胶囊,明目地黄胶囊,DS3254,明目地黄胶囊,明目地黄胶囊
323,果糖二磷酸钠胶囊,佛迪,果糖二磷酸钠,DS443,果糖二磷酸钠胶囊,果糖二磷酸钠胶囊
324,过氧苯甲酰乳膏,过氧苯甲酰乳膏,过氧苯甲酰,DS590,过氧苯甲酰乳膏,过氧苯甲酰乳膏
