,ID,PRODUCT_NAME,TRAD_NAME,CHINESE_PATENT_MEDICINE,SMALL_GENERIC_ID,LABEL_FORM_CODE,ACTUAL_FORM_CODE,DRUG_RULE_TYPE,CHRONIC_DRUG,TERM_ID,UPDATE_TIME,UPDATE_BY,DRUG_CODE,SPEC,PACK_SPEC,DOSAGE_UNIT,MIN_UNIT,MAX_UNIT,DOSAGE_UNIT_MIN_SCALE,MIN_UNIT_MAX_SCALE,SPEC_UNIT_MAX_SCALE,EXCEL_CODE,ACTUAL_FORM_NAME,IS_SUBMIT,IS_ENABLE,DRUG_TYPE,CREATE_TIME,STANDARD,PACK,DOSE_VERIFICATION,IS_PUBLISH,SF_FZYY,BIG_GENERIC_CODE,DISPOSED_PRODUCT_NAME,PY
10,11,DR71628,醋酸去氨加压素鼻喷雾剂,依他停,0,DS23561,18,1805,0,0,2018/3/21,16:50,shinimin,1362,喷雾剂,1,1,1,0,醋酸去氨加压素鼻喷雾剂,cusuanquanjiayasubipenwuji,,,,,,,,,,,,,,
11,12,DR71706,复方川贝精颗粒,圣保堂,1,DS3586,5,501,0,0,2014/9/12,9:16,yangli,235961,颗粒剂,1,1,SI8507,1,0,复方川贝精颗粒,fufangchuanbeijingkeli,,,,,,,,,,,,,
12,13,DR71880,熊胆救心丸,熊胆救心丸,1,DS16747,4,401,0,0,2014/9/16,11:10,gutingting,236701,丸剂,1,1,SI8512,1,0,熊胆救心丸,xiongdanjiuxinwan,,,,,,,,,,,,,
13,14,DR72100,心安宁片,心安宁片,1,DS15505,1,10103,0,1,2014/9/18,10:43,gutingting,175823,薄膜衣片,1,1,SI8567,1,0,心安宁片,xinanningpian,,,,,,,,,,,,,
14,15,DR72032,注射用尼麦角林,海南普利,0,DS875,19,1913,0,0,2014/9/17,15:03,beile,463,冻干粉针,1,1,1,0,注射用尼麦角林,zhusheyongnimaijiaolin,,,,,,,,,,,,,,
15,16,DR72094,卡莫氟片,嘧福禄,0,DS20290,1,101,0,0,2014/9/18,10:27,beile,208,片剂,1,1,SI761,1,0,卡莫氟片,kamofupian,,,,,,,,,,,,,
16,17,DR72136,小金片,小金片,1,DS17655,1,101,0,0,2014/9/18,14:08,gutingting,208247,片剂,1,1,SI8573,1,0,小金片,xiaojinpian,,,,,,,,,,,,,
17,18,DR72149,小建中片,小建中片,1,DS17549,1,101,0,0,2014/9/18,14:26,gutingting,235310,片剂,1,1,SI8503,1,0,小建中片,xiaojianzhongpian,,,,,,,,,,,,,
18,19,DR72153,小活络片,小活络片,1,DS17072,1,101,0,0,2014/9/18,14:56,gutingting,248394,片剂,1,1,SI8558,1,0,小活络片,xiaohuoluopian,,,,,,,,,,,,,
19,20,DR1390,解毒护肝颗粒,解毒护肝颗粒,1,DS1188,5,501,0,0,2014/8/4,14:41,yangruier,128553,颗粒剂,1,1,SI8499,1,0,解毒护肝颗粒,jieduhugankeli,,,,,,,,,,,,,
20,21,DR405,茵莲清肝颗粒,茵莲清肝颗粒,1,DS2211,5,501,0,0,2014/8/5,9:26,gutingting,4158,颗粒剂,1,1,SI8499,1,0,茵莲清肝颗粒,yinlianqinggankeli,,,,,,,,,,,,,
21,22,DR1307,鼻渊舒胶囊,鼻渊舒胶囊,1,DS1545,1,102,0,0,2014/8/5,10:26,gulingling,113006,硬胶囊,1,1,SI8587,1,0,鼻渊舒胶囊,biyuanshujiaonang,,,,,,,,,,,,,
22,23,DR1352,益心巴迪然吉布亚颗粒,益心巴迪然吉布亚颗粒,1,DS1812,5,501,0,0,2014/8/5,10:37,gutingting,93950,颗粒剂,1,1,SI8597,1,0,益心巴迪然吉布亚颗粒,yixinbadiranjibuyakeli,,,,,,,,,,,,,
23,24,DR3451,比卡鲁胺胶囊,岩列舒,0,DS1813,1,102,0,0,2016/1/25,17:21,huangmei,2749,硬胶囊,1,1,SI778,1,0,比卡鲁胺胶囊,bikaluanjiaonang,,,,,,,,,,,,,
24,25,DR2360,双黄连口服液,双黄连口服液,1,DS2612,3,306,0,0,2014/8/5,15:29,yangruier,5145,口服液,1,1,SI8489,1,0,双黄连口服液,shuanghuangliankoufuye,,,,,,,,,,,,,
25,26,DR253,十一味参芪胶囊,十一味参芪胶囊,1,DS129,1,102,0,0,2014/8/6,13:17,gutingting,121974,硬胶囊,1,1,SI8517,1,0,十一味参芪胶囊,shiyiweicanqijiaonang,,,,,,,,,,,,,
26,27,DR2333,一清滴丸,一清滴丸,1,DS477,4,402,0,0,2014/8/6,13:35,gutingting,92684,滴丸,1,1,SI8496,1,0,一清滴丸,yiqingdiwan,,,,,,,,,,,,,
27,28,DR3196,醋酸氢化可的松乳膏,0,DS2212,8,802,0,0,2014/8/7,10:29,beile,77700,乳膏剂,1,1,SI579,1,0,醋酸氢化可的松乳膏,cusuanqinghuakedesongrugao,,,,,,,,,,,,,,
28,29,DR341,乙酰螺旋霉素片,乙酰螺旋霉素片,0,DS1190,1,101,0,0,2015/1/13,15:59,gulingling,115522,片剂,1,1,SI693,1,0,乙酰螺旋霉素片,yixianluoxuanmeisupian,,,,,,,,,,,,,
29,30,DR1846,盐酸多巴酚丁胺注射液,0,DS1191,19,1902,0,0,2014/6/3,5692,259,注射液,1,1,SI487,1,0,盐酸多巴酚丁胺注射液,yansuanduobafendinganzhusheye,,,,,,,,,,,,,,,
30,31,DR1171,盐酸多塞平片,0,DS1546,1,101,1,0,2014/6/3,6640,260,片剂,1,1,SI872,1,0,盐酸多塞平片,yansuanduosaipingpian,,,,,,,,,,,,,,,
31,32,DR3084,注射用多索茶碱,益索,0,DS1520,19,1913,0,0,2014/6/3,5316,261,冻干粉针,1,1,1,0,注射用多索茶碱,zhusheyongduosuochajian,,,,,,,,,,,,,,,
32,33,DR1536,多索茶碱片,0,DS1520,1,101,0,0,2014/6/3,8194,262,片剂,1,1,SI932,1,0,多索茶碱片,duosuochajianpian,,,,,,,,,,,,,,,
33,34,DR731,多种微量元素注射液(Ⅱ),安达美,0,DS2213,19,1902,0,0,2014/6/3,5232,263,注射液,1,1,SI1001,1,0,多种微量元素注射液(2),duozhongweiliangyuansuzhusheye(2),,,,,,,,,,,,,,
34,35,DR56,二甲硅油片,0,DS1192,1,101,0,0,2014/6/3,1296,265,片剂,1,1,SI372,1,0,二甲硅油片,erjiaguiyoupian,,,,,,,,,,,,,,,
35,36,DR1758,盐酸二甲双胍肠溶片,君士达新,0,DS1193,1,10101,0,1,2014/6/3,5017,266,肠溶片,1,1,SI412,1,0,盐酸二甲双胍肠溶片,yansuanerjiashuangguachangrongpian,,,,,,,,,,,,,,
36,37,DR1327,注射用二乙酰氨乙酸乙二胺,0,DS1913,19,1913,0,0,2016/12/1,16:26,zhengbingwei,9507,268,注射液,1,1,1,0,注射用二乙酰氨乙酸乙二胺,zhusheyongeryixiananyisuanyieran,,,,,,,,,,,,,,
37,38,DR1426,法莫替丁胶囊,0,DS1194,1,102,0,0,2014/6/3,5314,269,硬胶囊,1,1,SI363,1,0,法莫替丁胶囊,famotidingjiaonang,,,,,,,,,,,,,,,
38,39,DR464,注射用法莫替丁,中诺舒奇,0,DS1194,19,1913,0,0,2017/1/25,15:01,gusuli,1206,271,冻干粉针,1,1,SI363,1,0,注射用法莫替丁,zhusheyongfamotiding,,,,,,,,,,,,
39,40,DR1302,复方泛影葡胺注射液,0,DS1814,19,1902,0,0,2014/6/3,5217,272,注射液,1,1,SI1006,1,0,复方泛影葡胺注射液,fufangfanyingpuanzhusheye,,,,,,,,,,,,,,,
40,41,DR1586,注射用放线菌素D,0,DS2613,19,1910,0,0,2014/6/3,85,273,粉针剂,1,1,1,0,注射用放线菌素d,zhusheyongfangxianjunsud,,,,,,,,,,,,,,,,
41,42,DR1508,氟罗沙星注射液,0,DS2214,19,1902,2,0,2014/6/3,5788,275,注射液,1,1,SI697,1,0,氟罗沙星注射液,fuluoshaxingzhusheye,,,,,,,,,,,,,,,
42,43,DR3395,氟尿嘧啶注射液,0,DS478,19,1902,0,0,2014/6/3,6508,277,注射液,1,1,SI761,1,0,氟尿嘧啶注射液,funiaomidingzhusheye,,,,,,,,,,,,,,,
43,44,DR1019,氟哌啶醇片,0,DS132,1,101,1,0,2014/6/3,3067,278,片剂,1,1,SI855,1,0,氟哌啶醇片,fupaidingchunpian,,,,,,,,,,,,,,,
44,45,DR2782,盐酸氟西汀罗胶囊,0,DS2614,1,102,1,0,2014/6/3,930,279,硬胶囊,0,0,SI873,1,0,盐酸氟西汀罗胶囊,yansuanfuxitingluojiaonang,,,,,,,,,,,,,,,
45,46,DR2073,注射用辅酶A,0,DS1549,19,1913,0,0,2014/6/3,5664,280,冻干粉针,1,1,SI1001,1,0,注射用辅酶a,zhusheyongfumeia,,,,,,,,,,,,,,,
46,47,DR1784,甲磺酸酚妥拉明注射液,0,DS2215,19,1902,0,0,2014/6/3,6262,282,注射液,1,1,SI653,1,0,甲磺酸酚妥拉明注射液,jiahuangsuanfentuolamingzhusheye,,,,,,,,,,,,,,,
47,48,DR1280,呋喃妥因肠溶片,0,DS2615,1,10101,2,0,2014/6/3,5170,284,肠溶片,1,1,SI704,1,0,呋喃妥因肠溶片,funantuoyinchangrongpian,,,,,,,,,,,,,,,
48,49,DR513,呋喃唑酮片,0,DS2616,1,101,2,0,2014/6/3,4637,285,片剂,1,1,SI704,1,0,呋喃唑酮片,funanzuotongpian,,,,,,,,,,,,,,,
49,50,DR2925,阿加曲班注射液,达贝,0,DS2639,19,1902,0,0,2015/12/4,13:37,gulingling,2385,933,注射液,1,1,SI451,1,0,阿加曲班注射液,ajiaqubanzhusheye,,,,,,,,,,,,
50,51,DR1452,阿胶补血口服液,阿胶补血口服液,1,DS1222,3,306,0,0,2014/7/7,16:16,gulingling,9773,934,口服液,1,1,SI8519,1,0,阿胶补血口服液,ajiaobuxuekoufuye,,,,,,,,,,,,
51,52,DR932,阿立哌唑片,安律凡,0,DS2640,1,101,1,0,2014/6/3,2408,935,片剂,1,1,SI862,1,0,阿立哌唑片,alipaizuopian,,,,,,,,,,,,,,
52,53,DR2858,阿仑膦酸钠片,0,DS2237,1,101,0,0,2017/1/18,13:47,huangmei,7755,937,片剂,1,1,SI814,1,0,阿仑膦酸钠片,alunlinsuannapian,,,,,,,,,,,,,
53,54,DR13,硫酸阿米卡星氯化钠注射液,米英杰,0,DS1938,19,1902,2,0,2014/6/3,2905,940,注射液,1,1,SI696,1,0,硫酸阿米卡星氯化钠注射液,liusuanamikaxinglu:huanazhusheye,,,,,,,,,,,,,,
54,55,DR2144,阿莫西林克拉维酸钾分散片,0,DS2238,1,10106,2,0,2016/1/13,9:24,huangmei,2440,942,分散片,1,1,SI680,1,0,阿莫西林克拉维酸钾分散片,amoxilinkelaweisuanjiafensanpian,,,,,,,,,,,,,
55,56,DR2293,阿莫西林克拉维酸钾片,君尔清,0,DS2238,1,101,2,0,2016/1/25,9:33,huangmei,395,943,片剂,1,1,SI680,1,0,阿莫西林克拉维酸钾片,amoxilinkelaweisuanjiapian,,,,,,,,,,,,
56,57,DR938,阿莫西林舒巴坦匹酯片,特福猛,0,DS3716,1,101,2,0,2016/1/12,15:47,huangmei,2890,945,片剂,1,1,SI680,1,0,阿莫西林舒巴坦匹酯片,amoxilinshubatanpizhipian,,,,,,,,,,,,
57,58,DR2763,阿那曲唑片,阿那曲唑片,0,DS1224,1,10103,0,0,2017/6/2,19:20,gusuli,7110,946,薄膜衣片,1,1,1,0,阿那曲唑片,aneiquzuopian,,,,,,,,,,,,,
58,59,DR1715,乳糖酸阿奇霉素注射液,0,DS1589,19,1902,2,0,2016/1/13,15:55,huangmei,593,947,注射液,1,1,SI693,1,0,乳糖酸阿奇霉素注射液,rutangsuanaqimeisuzhusheye,,,,,,,,,,,,,
59,60,DR1914,阿奇霉素软胶囊,凯迅,0,DS511,1,103,2,0,2016/1/25,9:19,huangmei,9897,951,软胶囊,1,1,SI693,1,1,0,阿奇霉素软胶囊,aqimeisuruanjiaonang,,,,,,,,,,,
60,61,DR1212,阿奇霉素干混悬剂,0,DS511,3,303,2,0,2016/1/13,13:59,huangmei,3282,952,干混悬剂,1,1,SI693,1,0,阿奇霉素干混悬剂,aqimeisuganhunxuanji,,,,,,,,,,,,,
61,62,DR1239,注射用乳糖酸阿奇霉素,其仙,0,DS1589,19,1913,2,0,2016/1/13,15:43,huangmei,3108,954,冻干粉针,1,1,SI693,1,0,注射用乳糖酸阿奇霉素,zhusheyongrutangsuanaqimeisu,,,,,,,,,,,,
62,63,DR1032,阿奇霉素肠溶片,维宏,0,DS511,1,10101,2,0,2016/1/25,9:23,huangmei,6433,955,肠溶片,1,1,SI693,1,0,阿奇霉素肠溶片,aqimeisuchangrongpian,,,,,,,,,,,,
63,64,DR1439,复方阿嗪米特肠溶片,0,DS2239,1,10101,0,0,2014/6/3,1254,957,肠溶片,1,1,SI407,1,1,0,复方阿嗪米特肠溶片,fufangaqinmitechangrongpian,,,,,,,,,,,,,,
64,65,DR2995,硫酸阿托品眼膏,0,DS1899,20,2001,0,0,2016/1/20,12:25,huangmei,9332,960,眼膏剂,1,1,SI967,1,0,硫酸阿托品眼膏,liusuanatuopinyangao,,,,,,,,,,,,,
65,66,DR3471,阿魏酸哌嗪片,亨达盛康,0,DS2642,1,101,0,1,2016/1/20,12:17,huangmei,998,961,片剂,1,1,SI452,1,0,阿魏酸哌嗪片,aweisuanpaiqinpian,,,,,,,,,,,,
66,67,DR234,阿昔洛韦胶囊,天诚惜尔,0,DS465,1,102,0,0,2017/6/2,19:21,gusuli,2755,962,硬胶囊,1,1,SI717,1,0,阿昔洛韦胶囊,axiluoweijiaonang,,,,,,,,,,,,
67,68,DR964,盐酸阿扎司琼注射液,欧立康定,0,DS1590,19,1902,0,0,2014/9/19,15:54,gulingling,1546,963,注射液,1,1,SI379,1,0,盐酸阿扎司琼注射液,yansuanazhasiqiongzhusheye,,,,,,,,,,,,
68,69,DR1686,注射用埃索美拉唑钠,0,DS1850,19,1913,0,1,2016/1/20,10:15,huangmei,6018,966,冻干粉针,1,1,1,0,注射用埃索美拉唑钠,zhusheyongaisuomeilazuona,,,,,,,,,,,,,,
69,70,DR1583,艾塞那肽注射液,百泌达,0,DS513,19,1902,0,1,2017/4/13,10:52,gusuli,53,968,注射液,1,1,SI418,1,0,艾塞那肽注射液,aisaineitaizhusheye,,,,,,,,,,,,
70,71,DR3552,养胃颗粒,养胃颗粒,1,DS1851,5,501,0,0,2014/8/11,16:03,gutingting,3347,颗粒剂,1,1,SI8518,1,0,养胃颗粒,yangweikeli,,,,,,,,,,,,,
71,72,DR3704,加味左金丸,加味左金丸,1,DS158,4,403,0,0,2014/8/13,14:11,cuilingyun,3511,水丸,1,1,SI8548,1,0,加味左金丸,jiaweizuojinwan,,,,,,,,,,,,,
72,73,DR3713,逍遥丸(浓缩丸),逍遥丸(浓缩丸),1,DS2885,4,407,0,0,2014/10/9,12:17,gulingling,107629,浓缩丸,1,1,SI8547,1,0,逍遥丸(浓缩丸),xiaoyaowan(nongsuowan),,,,,,,,,,,,,
73,74,DR3742,盐酸曲唑酮片,每素玉,0,DS2982,1,101,1,0,2014/8/14,14:16,gutingting,935,片剂,1,1,SI876,1,0,盐酸曲唑酮片,yansuanquzuotongpian,,,,,,,,,,,,,
74,75,DR3790,散寒感冒片,散寒感冒片,1,DS3014,1,101,0,0,2014/8/15,14:39,gutingting,136218,片剂,1,1,SI8489,1,0,散寒感冒片,sanhanganmaopian,,,,,,,,,,,,,
75,76,DR3948,健脾糕片,健脾糕片,1,DS3202,1,101,0,0,2014/8/25,14:33,gutingting,76088,片剂,1,1,SI8517,1,0,健脾糕片,jianpigaopian,,,,,,,,,,,,,
76,77,DR3955,接骨七厘散,接骨七厘散,1,DS3210,6,601,0,0,2014/8/25,15:24,gutingting,99298,散剂,1,1,SI8591,1,0,接骨七厘散,jieguqilisan,,,,,,,,,,,,,
77,78,DR3962,金刚藤颗粒,金刚藤颗粒,1,DS3217,5,501,0,0,2014/8/25,16:04,gutingting,7072,颗粒剂,1,1,SI8579,1,0,金刚藤颗粒,jingangtengkeli,,,,,,,,,,,,,
78,79,DR3976,藿香清胃片,藿香清胃片,1,DS3229,1,101,0,0,2014/8/26,15:18,yangruier,121458,片剂,1,1,SI8501,1,0,藿香清胃片,huoxiangqingweipian,,,,,,,,,,,,,
79,80,DR4001,注射用肌苷,迪力,0,DS507,19,1901,0,0,2014/8/28,9:30,yangruier,1289,注射剂,1,1,SI783,1,0,注射用肌苷,zhusheyongjigan,,,,,,,,,,,,,
80,81,DR4002,黄柏片,黄柏片,1,DS3249,1,101,0,0,2014/8/28,9:36,gutingting,121683,片剂,1,1,SI8501,1,0,黄柏片,huangbopian,,,,,,,,,,,,,
81,82,DR71797,乳癖散结胶囊,1,DS3697,1,102,0,0,2014/9/15,11:09,gulingling,112328,硬胶囊,1,1,SI8582,1,0,乳癖散结胶囊,rupisanjiejiaonang,,,,,,,,,,,,,,
82,83,DR71822,复方甘草铝镁片,0,DS3726,1,101,0,0,2014/9/15,15:42,yangli,138506,片剂,1,1,SI362,1,0,复方甘草铝镁片,fufanggancaolu:meipian,,,,,,,,,,,,,,
83,84,DR71868,阿里红咳喘口服液,1,DS19396,3,306,0,0,2016/9/13,11:07,gusuli,245179,口服液,1,1,SI8597,1,0,阿里红咳喘口服液,alihongkechuankoufuye,,,,,,,,,,,,,,
84,85,DR72105,八味沉香散,1,DS16721,6,601,0,1,2016/12/26,14:12,liuyan,266555,散剂,1,1,SI8512,1,0,八味沉香散,baweichenxiangsan,,,,,,,,,,,,,,
85,86,DR2989,安神补脑胶囊,1,DS159,1,102,0,0,2014/6/3,9780,971,硬胶囊,1,1,SI8533,1,0,安神补脑胶囊,anshenbunaojiaonang,,,,,,,,,,,,,,,
86,87,DR913,安神补脑片,1,DS1940,1,101,0,0,2014/6/3,9782,972,片剂,1,1,SI8533,1,0,安神补脑片,anshenbunaopian,,,,,,,,,,,,,,,
87,88,DR1291,安神补脑液,安神补脑液,1,DS1852,3,306,0,0,2015/1/9,10:00,gulingling,8755,973,口服溶液剂,1,1,SI8533,1,0,安神补脑液,anshenbunaoye,,,,,,,,,,,,
88,89,DR1956,安神补心胶囊,1,DS1941,1,102,0,0,2016/1/20,9:48,huangmei,9783,974,硬胶囊,1,1,SI8530,1,0,安神补心胶囊,anshenbuxinjiaonang,,,,,,,,,,,,,
89,90,DR2888,安神补心片,1,DS160,1,10103,0,0,2014/6/3,9785,975,薄膜衣片,1,1,SI8530,1,0,安神补心片,anshenbuxinpian,,,,,,,,,,,,,,,
90,91,DR1129,安神补心丸,1,DS161,4,407,0,0,2014/7/29,12:44,gulingling,9786,976,浓缩丸,1,1,SI8530,1,0,安神补心丸,anshenbuxinwan,,,,,,,,,,,,,
91,92,DR1139,斑秃丸,1,DS2645,4,405,0,0,2014/7/29,12:44,gulingling,9787,977,蜜丸,1,1,SI8596,1,0,斑秃丸,bantuwan,,,,,,,,,,,,,
92,93,DR2748,氨碘肽滴眼液,0,DS1228,15,1502,0,0,2016/1/20,9:38,huangmei,5903,979,滴眼剂,1,1,SI975,1,0,氨碘肽滴眼液,andiantaidiyanye,,,,,,,,,,,,,
93,94,DR1003,氨酚美伪麻片与苯酚伪麻片,达诺,0,DS3658,1,101,0,0,2014/9/12,15:22,yangruier,1761,981,片剂,1,1,SI833,1,0,氨酚美伪麻片与苯酚伪麻片,anfenmeiweimapianyubenfenweimapian,,,,,,,,,,,,
94,95,DR2584,氨酚羟考酮片,泰勒宁,0,DS1778,1,101,0,0,2016/1/20,9:37,huangmei,7048,982,片剂,1,1,SI833,1,0,氨酚羟考酮片,anfenqiangkaotongpian,,,,,,,,,,,,
95,96,DR551,氨酚伪麻美芬片Ⅱ/氨麻苯美片,白加黑,0,DS3292,1,10103,0,0,2016/1/20,9:34,huangmei,2581,983,薄膜衣片,1,1,1,0,氨酚伪麻美芬片2/氨麻苯美片,anfenweimameifenpian2/anmabenmeipian,,,,,,,,,,,,,
96,97,DR2631,盐酸氨基葡萄糖片,步迈新,0,DS23498,1,101,0,0,2018/1/31,17:17,shinimin,885,985,片剂,1,1,SI795,1,0,盐酸氨基葡萄糖片,yansuananjiputaotangpian,,,,,,,,,,,,
97,98,DR71643,烟酸注射液,烟酸注射液,0,DS245,19,1902,0,0,2014/9/11,11:17,gutingting,121600,注射液,1,1,SI520,1,0,烟酸注射液,yansuanzhusheye,,,,,,,,,,,,,
98,99,DR71492,氢溴酸右美沙芬分散片,迈生,0,DS89,1,10106,0,0,2014/9/9,10:31,gulingling,6486,分散片,1,1,SI937,1,0,氢溴酸右美沙芬分散片,qingxiusuanyoumeishafenfensanpian,,,,,,,,,,,,,
99,100,DR71506,参苏宣肺丸,1,DS3427,4,401,0,0,2014/9/9,11:23,gulingling,3540,丸剂,1,1,SI8489,1,0,参苏宣肺丸,cansuxuanfeiwan,,,,,,,,,,,,,,
100,101,DR71533,牛黄清热散,1,DS3457,6,601,0,0,2014/9/9,16:24,gutingting,120844,散剂,1,1,SI8512,1,0,牛黄清热散,niuhuangqingresan,,,,,,,,,,,,,,
101,102,DR71534,炎消迪娜儿糖浆,炎消迪娜儿糖浆,1,DS3458,3,314,0,0,2014/9/9,14:47,gutingting,89916,糖浆剂,1,1,SI8597,1,0,炎消迪娜儿糖浆,yanxiaodinaertangjiang,,,,,,,,,,,,,
102,103,DR1604,硫酸吗啡缓释片,美施康定,0,DS23489,2,201,0,0,2018/1/31,17:29,shinimin,787,548,缓释片,1,1,SI825,1,0,硫酸吗啡缓释片,liusuanmafeihuanshipian,,,,,,,,,,,,
103,104,DR2664,枸橼酸莫沙必利分散片,新络纳,0,DS2625,1,10106,0,0,2014/6/3,1252,550,分散片,1,1,SI378,1,0,枸橼酸莫沙必利分散片,gouyuansuanmoshabilifensanpian,,,,,,,,,,,,,,
104,105,DR1966,罗格列酮片,文迪雅,0,DS193,1,10103,0,1,2014/6/3,1416,552,薄膜衣片,1,1,1,1,0,罗格列酮片,luogelietongpian,,,,,,,,,,,,,,
105,106,DR71557,盆炎净颗粒,盆炎净颗粒,1,DS3491,5,501,0,0,2014/9/10,9:38,gutingting,132920,颗粒剂,1,1,SI8579,1,0,盆炎净颗粒,penyanjingkeli,,,,,,,,,,,,,
106,107,DR2078,蒙脱石散,0,DS537,6,601,0,0,2014/6/3,3389,555,散剂,1,1,1,0,蒙脱石散,mengtuoshisan,,,,,,,,,,,,,,,,
107,108,DR3464,注射用糜蛋白酶,注射用糜蛋白酶,0,DS1614,19,1913,0,0,2016/11/24,15:15,liuyan,142844,558,冻干粉针,1,1,SI478,1,0,注射用糜蛋白酶,zhusheyongmidanbaimei,,,,,,,,,,,,
108,109,DR2522,泮托拉唑钠肠溶胶囊,0,DS2622,1,104,0,0,2017/7/26,10:47,gusuli,6585,559,肠溶胶囊,1,1,1,1,0,泮托拉唑钠肠溶胶囊,pantuolazuonachangrongjiaonang,,,,,,,,,,,,,
109,110,DR428,醋酸可的松片,信谊,0,DS1253,1,101,0,0,2014/6/3,83,562,片剂,1,1,SI665,1,0,醋酸可的松片,cusuankedesongpian,,,,,,,,,,,,,,
110,111,DR2994,复方米非司酮片,0,DS538,1,101,0,0,2014/6/3,8782,565,片剂,1,1,SI649,1,0,复方米非司酮片,fufangmifeisitongpian,,,,,,,,,,,,,,,
111,112,DR2427,复方曲安奈德乳膏,0,DS1976,8,802,0,0,2014/11/18,11:27,yangruier,2283,567,软膏剂,1,1,SI590,1,0,复方曲安奈德乳膏,fufangquannaiderugao,,,,,,,,,,,,,
112,113,DR953,枸橼酸喷托维林片,0,DS1977,1,10104,0,0,2014/6/3,6182,568,糖衣片,1,1,SI938,1,0,枸橼酸喷托维林片,gouyuansuanpentuoweilinpian,,,,,,,,,,,,,,,
113,114,DR2512,注射用头孢噻肟钠,0,DS2667,19,1906,2,0,2014/6/3,4928,570,注射用无菌粉末,1,1,1,0,注射用头孢噻肟钠,zhusheyongtoubaosaiwona,,,,,,,,,,,,,,,,
114,115,DR2222,头孢克肟片,0,DS539,1,101,2,0,2014/6/3,2708,571,片剂,1,1,SI683,1,0,头孢克肟片,toubaokewopian,,,,,,,,,,,,,,,
115,116,DR1667,注射用头孢曲松钠,0,DS1254,19,1906,2,0,2014/6/3,4936,573,注射用无菌粉末,1,1,1,0,注射用头孢曲松钠,zhusheyongtoubaoqusongna,,,,,,,,,,,,,,,,
116,117,DR2499,双氯芬酸钠肠溶片,0,DS1616,1,10101,0,0,2014/9/16,14:38,yangruier,7475,574,肠溶片,1,1,1,0,双氯芬酸钠肠溶片,shuanglu:fensuannachangrongpian,,,,,,,,,,,,,,
